Wavelength,A,B,C,D,E,F,G,H,I,J,K,L
370,0.941903114,2.488033295,0.154019088,0.332727134,1.464861512,1.098439932,4.658571243,2.350980997,1.370711803,1.271316171,4.427217484,4.686392307
371.0700073,1.092356324,2.428714991,0.167679563,0.227059111,1.382074356,0.820793033,4.350404739,2.547353745,1.122163415,1.119161844,4.04761076,4.831320286
372,0.987216294,2.37818408,0.178890914,0.256513983,1.168425918,1.067699432,4.473372459,2.057666779,1.32340467,1.117320776,4.040176868,4.131922245
373.0700073,1.026119709,2.33450079,0.05698514,0.272218585,1.273784637,1.198430657,4.050340652,2.297893286,1.303854465,0.980406046,4.387984276,4.4479599
374,0.861285627,2.230868816,0.038418904,0.212573543,1.216794729,1.039396763,3.900617123,2.802807093,1.190993786,0.93213743,4.098875523,4.364283085
375.0700073,1.000162363,2.070699215,0.167572513,0.057902988,1.347139359,0.837060988,4.496836185,2.636779785,1.211592913,1.072248578,3.85557127,4.287072182
376,1.073984504,2.031084538,0.057861477,0.168999061,1.333152413,0.930627883,4.282681465,2.569679499,1.173802972,0.918996692,4.116021633,4.468892097
377.0700073,0.924525261,2.067587137,0.147729695,0.29077068,1.38859725,1.029340982,4.15836525,2.786918879,1.146992564,0.882359803,4.02100563,4.251498699
378,1.073933125,1.871028423,-0.077944152,0.287657976,1.250642657,0.834152758,4.345908642,3.13794136,1.24703598,0.946899653,4.180045128,3.95352149
379.0700073,0.978079081,2.099838734,0.33665055,0.138396815,1.066439986,0.768707573,4.193139076,3.231229305,1.175643682,0.880255222,3.85411334,4.179567337
380,1.125769138,2.306387901,0.10480722,0.122384518,1.266775489,0.98993057,4.226138592,3.32204318,1.375405312,0.869475067,4.047987938,3.92304945
381.0700073,0.993413985,2.127725363,-0.064237423,0.16569671,1.062613487,0.680082679,3.688363791,3.351340294,1.005224109,1.030865431,3.670622826,3.938804388
382,1.080839634,2.377636433,0.029328158,0.2116483,1.178548932,0.643411219,3.679965258,3.861161709,1.212513447,0.87326926,3.53416276,3.57668066
383.0700073,1.011164784,2.06994319,0.168148652,0.057886314,1.116100311,0.785055876,3.917495012,4.180963039,1.284517407,0.79710716,3.406940937,3.790670872
384,1.040937543,2.060265779,0.390085489,0.257118791,1.097091198,0.835339487,3.660520315,4.327942848,1.058698416,0.745429695,3.542656422,3.610057831
385.0700073,0.952775538,2.184499741,0.351197362,0.322954476,0.941439986,0.795774758,3.824623346,4.97641468,0.845527589,0.761053622,3.246163845,3.347799778
386,1.069772124,2.113809109,0.135684028,0.01299278,1.077373862,0.997472763,3.444308043,4.96224308,1.048107862,0.76563412,3.501750708,3.57144475
387.0700073,1.152369618,2.13800025,0.059541907,0.273902744,0.941565931,0.651679158,3.418615341,5.690559387,1.085700035,0.849820256,3.579844236,3.582971334
388,1.193050265,1.999800086,0.092607751,0.271734417,0.786098242,0.761269033,3.733978271,5.81962347,0.889335752,0.807839334,3.425157309,3.609736681
389.0700073,1.195437074,2.316712856,0.106825545,0.303587496,1.153805137,0.754722834,3.427191019,6.546496868,0.788873732,0.915822327,3.515367985,3.488857985
