time,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,H1,H2,H3,H4
0,2404,2362,2150,2204,2151,2151,2111,2061,2111,2123,2083,2087,2083,2174,2030,2073,2233,2189,2814,2233,2195,2240,2117,2113,2102,2114,2098,2150,2119,2177,2147,2137
27,2413,2384,2132,2184,2175,2062,2134,2110,2183,2117,2187,2214,2051,2120,2086,2079,2227,2194,3116,2157,2201,2186,2091,2159,2153,2147,2026,2150,2126,2195,2101,2154
54,2373,2316,2171,2120,2177,2124,2063,2103,2074,2055,2127,2120,2108,2129,2109,2050,2178,2214,3707,2104,2215,2116,2187,2189,2152,2116,2114,2144,2130,2120,2113,2179
81,2404,2405,2140,2117,2260,2145,2035,2171,2095,2112,2103,2081,2053,2117,2075,2193,2234,2224,3200,2152,2201,2161,2155,2105,2116,2110,2178,2084,2157,2048,2141,2134
108,2374,2373,2196,2049,2217,2122,2103,2106,2158,2080,2057,2201,2050,2047,2103,2102,2197,2175,3220,2190,2224,2248,2185,2062,2191,2102,2052,2120,2187,2134,2171,2143
135,2429,2410,2147,2105,2188,2068,2142,2164,2124,2113,2100,2131,2046,2061,2037,2071,2201,2222,3280,2216,2217,2110,2157,2145,2092,2149,2117,2146,2138,2136,2131,2231
162,2393,2396,2053,2148,2162,2187,2137,2070,2125,2106,2106,2161,2085,2051,2084,2263,2240,2224,3143,2205,2142,2164,2191,2126,2064,2070,2094,2113,2146,2091,2189,2132
189,2364,2481,2105,2118,2187,2099,2056,2062,2100,2123,2069,2178,2102,2067,2022,2080,2158,2236,3301,2264,2191,2174,2151,2170,2114,2085,2113,2181,2142,2194,2206,2230
216,2388,2405,2216,2130,2160,2039,2100,2091,2100,2168,2075,2171,2073,2111,2110,2300,2219,2192,3308,2166,2176,2141,2118,2158,2172,2170,2146,2127,2113,2157,2164,2187
243,2436,2430,2177,2129,2137,2104,2150,2049,2051,2126,2117,2149,2066,2115,2043,2214,2250,2243,2341,2191,2220,2196,2275,2191,2187,2133,2072,2089,2177,2172,2181,2205
270,2380,2388,2200,2137,2036,2123,2130,2103,2157,2102,2146,2167,2082,2072,2043,2134,2215,2204,2311,2214,2198,2188,2195,2189,2140,2155,2094,2136,2212,2219,2210,2215
297,2360,2443,2159,2098,2088,2143,2069,2008,2079,2069,2124,2114,2088,2059,2094,2208,2267,2269,2192,2282,2285,2280,2289,2260,2172,2146,2150,2083,2191,2294,2258,2277
324,2372,2423,2218,2131,2175,2025,2100,2172,2113,2102,2087,2150,2122,2090,2078,2186,2289,2234,2271,2283,2288,2346,2319,2323,2130,2155,2123,2122,2257,2298,2272,2275
351,2409,2494,2271,2163,2150,2141,2084,2141,2106,2161,2110,2128,2110,2042,2143,2224,2240,2314,2288,2308,2406,2321,2427,2324,2138,2128,2157,2062,2275,2331,2327,2358
378,2386,2461,2203,2137,2140,2093,2117,2114,2132,2066,2127,2149,2118,2147,2068,2350,2262,2311,2279,2311,2359,2383,2448,2363,2124,2189,2120,2158,2343,2353,2309,2324
405,2382,2465,2235,2131,2151,2115,2166,2116,2089,2195,2197,2137,2060,2102,2095,2339,2272,2345,2246,2276,2524,2443,2382,2466,2164,2132,2127,2121,2426,2389,2389,2481
432,2399,2496,2279,2104,2149,2152,2086,2124,2127,2079,2130,2176,2054,2161,2086,2208,2281,2258,2340,2326,2504,2440,2456,2494,2174,2157,2135,2133,2419,2460,2422,2458
459,2407,2437,2192,2188,2145,2042,2122,2025,2184,2041,2116,2129,2063,2092,2106,2144,2309,2241,2266,2412,2567,2474,2533,2604,2205,2118,2206,2122,2448,2444,2458,2549
486,2360,2493,2194,2143,2120,2117,2068,2129,2128,2119,2171,2144,2077,2018,2089,2174,2279,2318,2250,2353,2583,2505,2526,2515,2176,2132,2119,2189,2471,2522,2501,2556
513,2416,2436,2118,2140,2131,2077,2149,2083,2111,2120,2176,2099,2122,2130,2099,2184,2307,2339,2312,2325,2579,2586,2683,2636,2205,2179,2154,2176,2530,2553,2575,2643
540,2391,2513,2260,2155,2102,2108,2119,2038,2136,2108,2078,2106,2071,2124,2077,2169,2343,2284,2379,2332,2631,2658,2737,2641,2175,2175,2136,2188,2614,2531,2553,2672
567,2432,2517,2176,2199,2118,2142,2110,2091,2231,2059,2157,2115,2074,2151,2064,2362,2367,2388,2353,2343,2679,2711,2731,2731,2209,2108,2150,2173,2640,2595,2657,2690
594,2323,2456,2243,2208,2177,2122,2106,2092,2178,2151,2143,2088,2132,2091,2114,2275,2382,2345,2423,2431,2696,2757,2748,2798,2144,2040,2217,2182,2719,2637,2737,2719
621,2416,2470,2462,2129,2157,2077,2128,2164,2160,2146,2123,2085,2117,2111,2105,2336,2390,2395,2300,2420,2815,2739,2867,2807,2167,2186,2145,2133,2610,2748,2614,2708
648,2363,2456,2135,2121,2135,2087,2059,2045,2087,2115,2086,2150,2091,2173,2117,2249,2374,2438,2383,2447,2886,2785,2876,2874,2198,2225,2125,2159,2714,2722,2774,2767
675,2314,2554,2358,2170,2131,2101,2097,2115,2173,2150,2176,2147,2057,2135,2185,2248,2380,2423,2435,2417,2928,2912,3084,2974,2139,2210,2164,2188,2681,2789,2751,2881
702,2389,2548,2162,2085,2086,2162,2098,2116,2111,2202,2278,2139,2124,2148,2115,2344,2399,2415,2368,2387,2961,2999,3150,3016,2165,2204,2165,2230,2743,2819,2836,2924
729,2356,2423,2305,2130,2200,2169,2137,2118,2133,2177,2132,2170,2072,2064,2092,2254,2454,2360,2341,2409,3083,3055,3171,3122,2124,2254,2117,2214,2833,2859,2841,2915
756,2378,2467,2334,2165,2119,2139,2143,2097,2142,2140,2219,2195,2136,2086,2113,2313,2474,2395,2366,2443,3194,3059,3307,3167,2139,2226,2228,2231,2893,2922,2856,3011
783,2348,2539,2324,2145,2135,2091,2088,2132,2147,2098,2240,2127,2010,2087,2149,2430,2478,2435,2411,2493,3173,3166,3407,3255,2226,2169,2169,2259,3015,2907,2908,2917
810,2376,2477,2279,2196,2153,2202,2191,2092,2183,2130,2212,2189,2069,2129,2124,2396,2434,2462,2444,2438,3285,3300,3456,3375,2207,2168,2179,2231,2951,2990,2962,3057
