ID,Description,poi_Cat,poi_Qty,bg_Cat,bg_Qty,pvalue,p.adjust,qvalue,geneID,Count,Cat,foldEnrichment
GO:0022626,cytosolic ribosome,5,16,91,15671,2.453895885647314e-8,1.8649608730919587e-6,1.3173546333475056e-6,Rpl13/Rps8/Rps24/Rps3/Rps27,5,CC,53.815247252747255
GO:0003735,structural constituent of ribosome,5,17,138,15381,3.0677287180117683e-7,1.9940236667076496e-5,1.582302180869228e-5,Rpl13/Rps8/Rps24/Rps3/Rps27,5,MF,32.78132992327366
mmu03010,Ribosome,6,11,123,6715,1.4331942211926279e-8,4.299582663577884e-7,4.0732888391790484e-7,270106/20116/20088/27050/57294/100043813,6,KEGG,29.778270509977826
mmu05171,Coronavirus disease - COVID-19,6,11,211,6715,3.633332531845057e-7,5.449998797767586e-6,5.163156755779818e-6,270106/20116/20088/27050/57294/100043813,6,KEGG,17.35889702714347
R-MMU-1799339,SRP-dependent cotranslational protein targeting to membrane,6,13,84,8014,1.7911229255727734e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,44.032967032967036
R-MMU-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),6,13,87,8014,2.2201182484155465e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,42.51458885941645
R-MMU-72689,Formation of a pool of free 40S subunits,6,13,94,8014,3.560771687136344e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,39.348608837970545
R-MMU-156827,L13a-mediated translational silencing of Ceruloplasmin expression,6,13,104,8014,6.5859030540648225e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,35.56508875739645
R-MMU-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,6,13,105,8014,6.979766788505024e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,35.22637362637363
R-MMU-927802,Nonsense-Mediated Decay (NMD),6,13,105,8014,6.979766788505024e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,35.22637362637363
R-MMU-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),6,13,105,8014,6.979766788505024e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,35.22637362637363
R-MMU-72695,"Formation of the ternary complex, and subsequently, the 43S complex",5,13,50,8014,9.54624409952968e-9,5.8653577828532806e-8,2.5725253433567017e-8,20116/20088/27050/57294/100043813,5,Reactome,61.646153846153844
R-MMU-72613,Eukaryotic Translation Initiation,6,13,111,8014,9.775596304755468e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,33.32224532224532
R-MMU-72737,Cap-dependent Translation Initiation,6,13,111,8014,9.775596304755468e-9,5.8653577828532806e-8,2.5725253433567017e-8,270106/20116/20088/27050/57294/100043813,6,Reactome,33.32224532224532
R-MMU-72649,Translation initiation complex formation,5,13,57,8014,1.87552561826252e-8,9.3776280913126e-8,4.1129947768914915e-8,20116/20088/27050/57294/100043813,5,Reactome,54.07557354925777
R-MMU-72702,Ribosomal scanning and start codon recognition,5,13,57,8014,1.87552561826252e-8,9.3776280913126e-8,4.1129947768914915e-8,20116/20088/27050/57294/100043813,5,Reactome,54.07557354925777
R-MMU-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",5,13,58,8014,2.0507461279997746e-8,9.464982129229728e-8,4.1513079514165474e-8,20116/20088/27050/57294/100043813,5,Reactome,53.14323607427056
R-MMU-6791226,Major pathway of rRNA processing in the nucleolus and cytosol,6,13,164,8014,1.021671000371638e-7,3.831266251393643e-7,1.6803799348217733e-7,270106/20116/20088/27050/57294/100043813,6,Reactome,22.553470919324578
R-MMU-72312,rRNA processing,6,13,164,8014,1.021671000371638e-7,3.831266251393643e-7,1.6803799348217733e-7,270106/20116/20088/27050/57294/100043813,6,Reactome,22.553470919324578
R-MMU-8868773,rRNA processing in the nucleus and cytosol,6,13,164,8014,1.021671000371638e-7,3.831266251393643e-7,1.6803799348217733e-7,270106/20116/20088/27050/57294/100043813,6,Reactome,22.553470919324578
R-MMU-72766,Translation,6,13,215,8014,5.100367315913863e-7,1.800129640910775e-6,7.895305442591119e-7,270106/20116/20088/27050/57294/100043813,6,Reactome,17.203577817531308
