proteinID,LFQ.intensity.P11,LFQ.intensity.P12,LFQ.intensity.P13,LFQ.intensity.P2a1,LFQ.intensity.P2a2,LFQ.intensity.P2a3,LFQ.intensity.P2b1,LFQ.intensity.P2b2,LFQ.intensity.P2b3,LFQ.intensity.P31,LFQ.intensity.P32,LFQ.intensity.P33,impute_LFQ.intensity.P11,impute_LFQ.intensity.P12,impute_LFQ.intensity.P13,impute_LFQ.intensity.P2a1,impute_LFQ.intensity.P2a2,impute_LFQ.intensity.P2a3,impute_LFQ.intensity.P2b1,impute_LFQ.intensity.P2b2,impute_LFQ.intensity.P2b3,impute_LFQ.intensity.P31,impute_LFQ.intensity.P32,impute_LFQ.intensity.P33,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A4P0,27.91330708083286,27.636578822306,27.64883371428424,27.6661427188667,27.777121344776326,27.507032181408583,27.499980760785455,27.445296165276613,27.374180373013516,NA,28.624079460939246,NA,27.91330708083286,27.636578822306,27.64883371428424,27.6661427188667,27.777121344776326,27.507032181408583,27.499980760785455,27.445296165276613,27.374180373013516,25.49899886978401,28.624079460939246,25.968065258244515,0.07174636802475845,1.1442000790780078,-0.21027964865867688,-2.433023771167443,0.07174636802475845,15,Dhx8
A2A791,27.581615048170967,27.72240575632213,27.107691840472114,NA,27.492207107842656,27.33415432755676,26.625612982410377,27.359258539337873,27.89983215786596,27.329713685828583,26.17163479484502,26.840861655147997,27.581615048170967,27.72240575632213,27.107691840472114,25.228921519147466,27.492207107842656,27.33415432755676,26.625612982410377,27.359258539337873,27.89983215786596,27.329713685828583,26.17163479484502,26.840861655147997,0.49722146943097273,0.3034501273069468,0.6098069083557753,0.7458164049423134,0.49722146943097273,65,Zmym4
A2A8U2,30.152430535991712,30.19295834257432,29.837677493397052,29.27748382559118,29.8409066636506,29.722552331122223,29.82662878201356,29.89667462792143,29.723610484977232,29.773510248424802,29.75519056745705,29.05935659207823,30.152430535991712,30.19295834257432,29.837677493397052,29.27748382559118,29.8409066636506,29.722552331122223,29.82662878201356,29.89667462792143,29.723610484977232,29.773510248424802,29.75519056745705,29.05935659207823,0.32159598120818267,0.49268938700696746,0.2019903581827407,1.130132639137866,0.32159598120818267,18,Tmem201
A2A935,31.83481024654444,31.740251254540752,30.993614707044664,31.346359493204467,31.617062010075905,31.353370429794047,31.496765871937246,32.014249872274526,31.454542350456595,31.69946333335618,31.17307511014701,31.77698021079866,31.83481024654444,31.740251254540752,30.993614707044664,31.346359493204467,31.617062010075905,31.353370429794047,31.496765871937246,32.014249872274526,31.454542350456595,31.69946333335618,31.17307511014701,31.77698021079866,0.3420949632373063,0.4658533200106334,0.21625538719798243,1.0770167243499096,0.3420949632373063,35,Prdm16
A2ADA5,28.86879524330365,28.69534528640395,28.680566419422323,NA,NA,28.19910436739291,NA,29.206878320014088,NA,28.125734437853996,27.744195142599718,NA,28.86879524330365,28.69534528640395,28.680566419422323,25.720660219147863,25.101949899812656,28.19910436739291,25.19532892433836,29.206878320014088,25.68721452343789,28.125734437853996,27.744195142599718,25.37788145738935,0.8326483356785469,0.07953838169189796,0.3559024271456366,0.22549277105169027,0.8326483356785469,3,Pusl1
A2AGT5,27.988910527003657,28.22089586313615,29.84774661186889,28.188956412016825,28.240408132355633,28.268209015732907,28.46119433286659,27.869501408291264,27.648010806167495,NA,28.63294434829818,27.45732426215366,27.988910527003657,28.22089586313615,29.84774661186889,28.188956412016825,28.240408132355633,28.268209015732907,28.46119433286659,27.869501408291264,27.648010806167495,26.785438465730927,28.63294434829818,27.45732426215366,0.3813680758797583,0.41865566433022844,-0.23962233759333884,-0.9827563360609721,0.3813680758797583,29,Ckap5
A2AIL4,28.625020678696323,28.333855866861292,29.096098435831085,27.780629571885676,27.7607838938569,28.56783065813055,28.442649126407705,28.66634592012165,27.87249875928633,28.582333128441075,NA,NA,28.625020678696323,28.333855866861292,29.096098435831085,27.780629571885676,27.7607838938569,28.56783065813055,28.442649126407705,28.66634592012165,27.87249875928633,28.582333128441075,26.05252440108591,25.386659606609065,0.4595253633267513,0.33769051289842134,0.2907498939808555,0.817526926447253,0.4595253633267513,6,Ndufaf6
A2AIV2,27.457245971824467,27.0873987408807,27.17216911927997,27.76995312768187,26.996149678514747,27.368030272506587,27.206668763031967,28.62630949912399,26.56774363695627,26.992048350731768,26.7279327074638,NA,27.457245971824467,27.0873987408807,27.17216911927997,27.76995312768187,26.996149678514747,27.368030272506587,27.206668763031967,28.62630949912399,26.56774363695627,26.992048350731768,26.7279327074638,26.143964750102217,0.8975613471415487,0.046935858276621834,0.088862940136341,0.13711933253996594,0.8975613471415487,30,Virma
A2AN08,26.836173087495347,25.89543568168761,28.67246240881489,27.578811115033364,27.206855037408065,26.70464182276305,27.53778869060585,27.166721193542106,27.46567687425597,27.919855608178313,27.558372714256425,28.470572243592347,26.836173087495347,25.89543568168761,28.67246240881489,27.578811115033364,27.206855037408065,26.70464182276305,27.53778869060585,27.166721193542106,27.46567687425597,27.919855608178313,27.558372714256425,28.470572243592347,0.46009604520265074,0.3371514997368284,0.22662626106648176,0.8164078012050527,0.46009604520265074,122,Ubr4
A2APV2,29.67534269618797,29.93775436927047,29.371586399513316,30.148920474594508,29.683982669287253,29.65061507325412,29.864373863683486,29.521650306810933,29.364068712377566,29.11661742182034,NA,NA,29.67534269618797,29.93775436927047,29.371586399513316,30.148920474594508,29.683982669287253,29.65061507325412,29.864373863683486,29.521650306810933,29.364068712377566,29.11661742182034,26.28923957285288,26.195122928697028,0.3255525530017179,0.48737889454159405,-0.2444751114212984,-1.1196449514456654,0.3255525530017179,7,Fmnl2
A2AR02,29.13523468880691,28.750502191159057,28.84059157464117,29.265037028764834,28.834817779590278,28.41098508286829,29.092045105737064,28.550064196772016,29.155015254078663,28.86673361892787,29.100616666707342,29.243475787698678,29.13523468880691,28.750502191159057,28.84059157464117,29.265037028764834,28.834817779590278,28.41098508286829,29.092045105737064,28.550064196772016,29.155015254078663,28.86673361892787,29.100616666707342,29.243475787698678,0.7753147404581191,0.11052195904769084,0.0954282217881115,0.3053712382289735,0.7753147404581191,9,Ppig
A2ASZ8,28.14462417163332,27.822987756170253,27.697633620799127,NA,27.741497435045606,27.32345655467131,27.489147145847348,27.281358439566045,27.645470547271827,NA,NA,NA,28.14462417163332,27.822987756170253,27.697633620799127,26.577541139103968,27.741497435045606,27.32345655467131,27.489147145847348,27.281358439566045,27.645470547271827,25.684903735016785,26.737090101169642,26.087460135644964,0.5094413112389572,0.292905840456697,0.2578270012881134,0.7234589629888062,0.5094413112389572,7,Slc25a25
A2BE28,29.969664494008686,29.89576501597018,29.359090940006727,29.258200289239962,29.40746409175087,29.68113635647023,29.652445524855004,29.059846502197537,29.379788141978295,29.249840212738107,28.590993690749865,28.057705143451887,29.969664494008686,29.89576501597018,29.359090940006727,29.258200289239962,29.40746409175087,29.68113635647023,29.652445524855004,29.059846502197537,29.379788141978295,29.249840212738107,28.590993690749865,28.057705143451887,0.7083989425900863,0.14972209574231488,-0.08490685614340876,-0.40176310741968,0.7083989425900863,13,Las1l
A2BH40,27.830985917999254,27.903112123274948,27.3402804303536,27.8490599981592,NA,27.685253324405984,28.146373364272225,27.554937985438983,NA,NA,28.03616732288854,NA,27.830985917999254,27.903112123274948,27.3402804303536,27.8490599981592,25.80920169243544,27.685253324405984,28.146373364272225,27.554937985438983,25.06831937425599,25.502017459724442,28.03616732288854,24.579364891455306,0.8757238417023424,0.057632826404215055,-0.19129476367780995,-0.16665893708011048,0.8757238417023424,16,Arid1a
B1AQJ2,28.506805253363932,28.397624631918866,28.089319705863826,28.67199023444719,28.28625873802533,27.810355206878086,28.37031884507738,28.10314571247531,28.128736106740227,27.92382716381144,27.630273236094517,28.07653265147619,28.506805253363932,28.397624631918866,28.089319705863826,28.67199023444719,28.28625873802533,27.810355206878086,28.37031884507738,28.10314571247531,28.128736106740227,27.92382716381144,27.630273236094517,28.07653265147619,0.8434584281475928,0.07393631778264886,-0.05546783835256264,-0.21064694246973983,0.8434584281475928,21,Usp36
B1AZI6,29.495851459552874,29.01488832708988,28.815983333583382,29.01900489020133,28.708626579395318,27.94341079619499,27.676469663766035,27.53096075750693,27.92846569483651,27.914505119372105,27.96444081878741,27.777309501938756,29.495851459552874,29.01488832708988,28.815983333583382,29.01900489020133,28.708626579395318,27.94341079619499,27.676469663766035,27.53096075750693,27.92846569483651,27.914505119372105,27.96444081878741,27.777309501938756,0.06784428054371404,1.168486758660139,-0.8450487165607221,-2.4850328390270713,0.06784428054371404,33,Thoc2
B2RQC6,29.78575127582542,29.610080682855962,30.4129643934783,29.474639067212177,29.530923560744196,29.363964313752366,29.458713208976466,29.282618213336942,29.695378476604468,29.358860459130625,30.14952626718829,29.881322341179814,29.78575127582542,29.610080682855962,30.4129643934783,29.474639067212177,29.530923560744196,29.363964313752366,29.458713208976466,29.282618213336942,29.695378476604468,29.358860459130625,30.14952626718829,29.881322341179814,0.8708550790553207,0.060054110897219994,0.022394319069711344,0.1732684763662766,0.8708550790553207,45,Cad
B2RXS4,28.579818282251516,28.277905001882374,NA,27.52492234030447,29.02933736274279,28.04749655851497,NA,28.00458541590367,NA,NA,28.592063701212687,27.86242415573274,28.579818282251516,28.277905001882374,25.3885764236742,27.52492234030447,29.02933736274279,28.04749655851497,26.544351422911586,28.00458541590367,25.77578244707941,26.51309418518006,28.592063701212687,27.86242415573274,0.1448648949262296,0.8390368442524175,-1.4256789918891855,-1.808112370969034,0.1448648949262296,50,Plxnb2
B2RY56,30.543607693185713,30.56401856458086,30.713993516505926,30.615089587983743,30.72240575632213,30.715794429750424,30.79257790898492,30.484621822090585,30.37254152421187,31.018301922616256,31.25360937035908,30.91498975703576,30.543607693185713,30.56401856458086,30.713993516505926,30.615089587983743,30.72240575632213,30.715794429750424,30.79257790898492,30.484621822090585,30.37254152421187,31.018301922616256,31.25360937035908,30.91498975703576,0.3601807962252441,0.4434794461964932,-0.13451617292297513,-1.0324827372186935,0.3601807962252441,6,Rbm25
B9EJ86,28.227337503744682,27.897699059253103,28.455444120652693,27.47127022803644,27.373765650545117,28.36135188983268,27.763762378450078,27.60215400958639,27.650204185595513,27.752002853400217,27.585488442443598,27.637615563942266,28.227337503744682,27.897699059253103,28.455444120652693,27.47127022803644,27.373765650545117,28.36135188983268,27.763762378450078,27.60215400958639,27.650204185595513,27.752002853400217,27.585488442443598,27.637615563942266,0.8515721592172382,0.06977854556153643,-0.06342239826075158,-0.19954191041708658,0.8515721592172382,10,Osbpl8
B9EKR1,27.538676912915506,27.934945929526496,27.475219107307726,27.441897588814747,26.7470159123305,27.771402217741485,27.41707590178396,28.417317390701953,27.75168369426326,28.186880455683774,26.93303306291275,27.10429608733702,27.538676912915506,27.934945929526496,27.475219107307726,27.441897588814747,26.7470159123305,27.771402217741485,27.41707590178396,28.417317390701953,27.75168369426326,28.186880455683774,26.93303306291275,27.10429608733702,0.26783157722976836,0.5721382211694772,0.5419204226208123,1.2860178577764552,0.26783157722976836,22,Ptprz1
