proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
A2A791,27.581615048170967,27.72240575632213,27.107691840472114,25.228921519147466,27.492207107842656,27.33415432755676,26.625612982410377,27.359258539337873,27.89983215786596,27.329713685828583,26.17163479484502,26.840861655147997,27.470570881655068,26.685094318182294,27.29490122653807,26.780736711940534,high1
A2AGT5,27.988910527003657,28.22089586313615,29.84774661186889,28.188956412016825,28.240408132355633,28.268209015732907,28.46119433286659,27.869501408291264,27.648010806167495,26.785438465730927,28.63294434829818,27.45732426215366,28.68585100066956,28.232524520035124,27.99290218244178,27.625235692060922,high1
A2AIL4,28.625020678696323,28.333855866861292,29.096098435831085,27.780629571885676,27.7607838938569,28.56783065813055,28.442649126407705,28.66634592012165,27.87249875928633,28.582333128441075,26.05252440108591,25.386659606609065,28.6849916604629,28.036414707957707,28.327164601938563,26.673839045378685,high1
A2AN08,26.836173087495347,25.89543568168761,28.67246240881489,27.578811115033364,27.206855037408065,26.70464182276305,27.53778869060585,27.166721193542106,27.46567687425597,27.919855608178313,27.558372714256425,28.470572243592347,27.13469039266595,27.163435991734826,27.39006225280131,27.98293352200903,high3
A2ASZ8,28.14462417163332,27.822987756170253,27.697633620799127,26.577541139103968,27.741497435045606,27.32345655467131,27.489147145847348,27.281358439566045,27.645470547271827,25.684903735016785,26.737090101169642,26.087460135644964,27.888415182867565,27.214165042940294,27.471992044228404,26.169817990610465,high1
A2BH40,27.830985917999254,27.903112123274948,27.3402804303536,27.8490599981592,25.80920169243544,27.685253324405984,28.146373364272225,27.554937985438983,25.06831937425599,25.502017459724442,28.03616732288854,24.579364891455306,27.6914594905426,27.11450500500021,26.923210241322398,26.039183224689435,high1
B1AZI6,29.495851459552874,29.01488832708988,28.815983333583382,29.01900489020133,28.708626579395318,27.94341079619499,27.676469663766035,27.53096075750693,27.92846569483651,27.914505119372105,27.96444081878741,27.777309501938756,29.10890770674205,28.557014088597214,27.71196537203649,27.885418480032758,high1
E9Q5G3,29.796188076579014,29.044008076105726,29.357728473192918,28.445888121124714,27.452540760149663,26.508921861610755,28.50343495565323,28.53270792444309,27.696904401004176,26.74033972865135,27.47545105806375,25.347225843483173,29.399308208625886,27.469116914295043,28.244349093700166,26.521005543399426,high1
E9Q7G0,29.885808508941686,29.970898914901415,30.384427534037986,29.01422326385798,28.65386381012642,29.042834676251786,29.450261061749373,28.94575646068344,27.171405738064518,28.253045751552484,29.007234896016644,28.10754219624611,30.080378319293697,28.90364058341206,28.52247442016578,28.455940947938416,high1
E9Q9A9,29.521949772577297,29.613369188733778,30.261252805672882,28.910078838817725,29.69385093654046,29.632909690206798,29.096299546851416,29.242885486937215,29.27070595424376,28.750629967882645,29.046039711119644,28.82581035200277,29.798857255661318,29.412279821854995,29.203296996010796,28.87416001033502,high1
