proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
A2BE28,22.693045338167465,23.20568110710795,23.409375396915678,23.329782107020453,23.26399008345999,22.472835586910005,23.073164847707993,23.323198830841605,20.626352799786737,21.32289208787913,23.018216482079364,22.649107912715337,23.102700614063696,23.022202592463483,22.340905492778777,22.330072160891277,high1
A6PWD2,28.615966552961744,28.460413336750133,27.539268757461375,28.34583097539774,21.315890929236335,27.712009911946524,28.27462100424714,27.62540396180669,28.385497629972225,28.300424203712105,20.59257010689477,28.324615742499947,28.205216215724416,25.7912439388602,28.095174198675352,25.73920335103561,high1
B1AUE5,24.001442556956157,23.480251787481357,20.562935805867724,24.1306126652623,23.632119259738765,21.577445310049853,23.996796192099794,23.763445810515847,23.823473757536107,24.06159335299507,23.952515182837733,23.933730990474796,22.68154338343508,23.113392411683638,23.86123858671725,23.98261317543587,high3
D3YZP9,20.894834752168435,22.065753180982238,24.389294176434927,23.763344494104352,23.86825361596714,24.408209477993694,24.03573746414763,22.108681615378963,21.395601437429665,23.514124572338236,23.75826958018659,23.737583223623144,22.449960703195202,24.013269196021728,22.513340172318753,23.669992458715992,high3
E9Q414,26.277603540833972,26.163096980157164,26.09687758492133,21.354492571677124,25.692960232202516,25.580465375799427,26.330363556174138,26.058004608816344,26.330534526042783,25.996602268443223,25.978561569332527,22.073725263541913,26.179192701970823,24.20930605989302,26.23963423034442,24.682963033772555,high1
G5E870,24.102775396742317,24.02580463916994,24.184801507862204,24.12470948846905,24.110362871195967,24.39106576351844,23.347192044445094,24.42847825630172,23.728789114248066,24.546926008702332,24.855668454964917,24.739747653095645,24.104460514591484,24.208712707727823,23.83481980499829,24.714114038920965,high3
O08788,22.260232726882226,23.11236887005314,24.045519051746677,23.160217973670274,23.300895453086948,23.105911065523294,23.175724964952277,24.071774613453933,22.82937047161443,23.832580243173627,24.80079841578989,23.9603145115513,23.139373549560684,23.189008164093508,23.35895668334021,24.19789772350494,high3
O09131,27.4849290726595,27.032336018893034,21.474304559555613,26.49075443511191,27.056413632577595,21.076329464107605,26.679627208481342,27.23571451052712,27.54487920423464,28.697865568003575,29.607490328117315,21.71303718796285,25.330523217036045,24.874499177265704,27.153406974414366,26.67279769469458,high3
O35129,30.152793158851704,30.32506628635268,29.911279560029183,30.063554106648965,30.046091766723787,29.14799918239848,30.843335039983724,30.396114319658114,30.527478706310642,30.885983012671304,30.90820428873172,30.841611613599614,30.129713001744523,29.752548351923746,30.588976021984163,30.87859963833421,high3
O35295,23.047417510265404,23.194557890233483,22.69515011257865,22.746734083411752,23.313405653230223,23.576693772450863,23.086151778377243,23.510145054092213,22.995002481508024,23.745708786629994,23.74888483778436,24.08188452682796,22.97904183769251,23.21227783636428,23.197099771325828,23.858826050414105,high3
