proteinID,P11,P12,P13,P2a1,P2a2,P2a3,P2b1,P2b2,P2b3,P31,P32,P33,P1,P2a,P2b,P3,group
A2ADY9,22.829838981186985,26.92286364786704,27.133986290899355,27.029495342233858,22.837742387554044,27.11227340951973,26.866203010419078,27.242181350983703,26.85816107937524,26.487522730703304,27.02400859956226,26.839060162667227,25.62889630665113,25.65983704643588,26.98884848025934,26.783530497644264,high3
A2AJ15,25.259327779073846,25.277603540833972,25.400314783078297,25.814138259445972,25.461483194307554,24.29011477810322,25.318172613526624,22.817841750337262,24.26827409716303,25.82762239871449,23.445571855916405,22.83580985641075,25.31241536766204,25.18857874395225,24.134762820342303,24.03633470368055,high1
A2AN08,26.004381820226286,26.929086803843962,26.424271002675454,26.533621556187267,26.6066787845694,26.00290220985229,26.687657816697396,27.191876562291824,26.28296721914984,27.028757956559286,27.00742204893962,27.088207880016263,26.4525798755819,26.381067516869653,26.720833866046352,27.04146262850506,high3
A2APB8,25.48012849601943,24.84857060303289,25.271311701951266,25.482161459028475,25.29045708666745,25.777083710398912,24.639645418945893,24.693704739225286,23.513034870257975,24.645374341489404,24.29005982833633,23.53283276640036,25.200003600334526,25.516567418698276,24.282128342809717,24.15608897874203,high1
A4Q9F3,28.751492164884834,28.62818841630846,28.434599214965335,29.004638988938485,23.68100411145221,28.628918445982926,28.456110284360022,28.64746193987178,23.659977065729397,24.240107600903116,28.313154779081824,27.910622146009654,28.604759932052875,27.10485384879121,26.92118309665373,26.8212948419982,high1
B1AQJ2,25.261302131569717,25.38804619867599,25.234253183442554,25.37597060538718,25.302290844472342,25.455788996738477,24.994294732253007,24.819288785683366,23.134216177822534,22.964063828961006,22.010804057917447,24.0086810564656,25.294533837896086,25.378016815532664,24.315933231919633,22.99451631444802,high1
B1AZI6,26.780817272088584,26.62477671823419,26.756718171984375,26.45498938526696,26.200583008512883,26.26913695458842,26.131535311680363,26.12020686388556,25.857947594524052,26.26284383647079,25.508090707244676,26.56057540275135,26.72077072076905,26.308236449456086,26.036563256696656,26.11050331548894,high1
C0HKG6,24.872487017122886,25.254938638385443,25.235604962325475,25.830429905593594,23.569913429375703,24.86268426908196,22.945759036902153,21.995001716261775,23.98763398692736,23.90034424569827,23.826991910186205,23.691001684375816,25.1210102059446,24.754342534683747,22.97613158003043,23.806112613420098,high1
O09126,24.22703132103551,23.559247154328972,22.957444019865683,28.360138116535893,28.454542350456595,28.632632395498167,28.457519969391218,23.670788571012917,28.251421298063203,30.05012037324803,30.785034083329254,30.5235583369393,23.58124083174339,28.482437620830215,26.793243279489115,30.45290426450553,high3
O09172,26.466237186492325,26.248438374388506,26.733761786266,23.827644726699464,26.325259333511628,23.691830077798333,26.569135346258857,26.61428230911926,26.861122885057025,27.262126969354977,27.17054645109507,27.048016504835832,26.482812449048946,24.614911379336476,26.681513513478382,27.16022997509529,high3
