proteinID,LFQ.intensity.PD1,LFQ.intensity.PD2,LFQ.intensity.PD3,LFQ.intensity.PD4,LFQ.intensity.PE1,LFQ.intensity.PE2,LFQ.intensity.PE3,LFQ.intensity.PE4,impute_LFQ.intensity.PD1,impute_LFQ.intensity.PD2,impute_LFQ.intensity.PD3,impute_LFQ.intensity.PD4,impute_LFQ.intensity.PE1,impute_LFQ.intensity.PE2,impute_LFQ.intensity.PE3,impute_LFQ.intensity.PE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A288,NA,NA,NA,NA,20.283423008456552,NA,19.102237168543272,19.004593559133173,17.672392599970596,18.081569160597216,17.56673931196099,18.794581147845587,20.283423008456552,17.45131352762763,19.102237168543272,19.004593559133173,0.19827542478543048,0.7027311110164622,0.9315712608465603,1.446146655448993,0.19827542478543048,8,ZC3H12D
A6NHR9,17.977514718038783,18.751890517436276,NA,18.55329929848028,NA,17.861389859534,NA,NA,17.977514718038783,18.751890517436276,18.155244662469645,18.55329929848028,17.88269664699129,17.861389859534,17.33992629449088,18.63440474760156,0.22800564621482322,0.6420543982206883,-0.42988291195181105,-1.3424673425534317,0.22800564621482322,30,SMCHD1
B0I1T2,21.75405399912253,22.212792024169026,21.468715512941742,22.600186967125964,20.954681952027737,21.3357087355881,21.329864208167603,22.31768972613903,21.75405399912253,22.212792024169026,21.468715512941742,22.600186967125964,20.954681952027737,21.3357087355881,21.329864208167603,22.31768972613903,0.22092939530813277,0.6557464961213826,-0.5244509703591973,-1.3659780170828635,0.22092939530813277,18,MYO1G
E9PAV3,21.362496086729042,20.94127404160784,22.376341634846625,21.39267798438943,22.39696845262078,21.92361184549583,21.822287626455616,21.910459747193645,21.362496086729042,20.94127404160784,22.376341634846625,21.39267798438943,22.39696845262078,21.92361184549583,21.822287626455616,21.910459747193645,0.18486320799070655,0.7331495147821955,0.49513448104823254,1.4976838396918268,0.18486320799070655,12,"NACA"
O00139,NA,19.12686576693927,NA,NA,NA,19.552999237114623,19.592716160662313,19.985791916661327,17.574396677729997,19.12686576693927,18.23501001857582,18.361736328072976,17.96037061680456,19.552999237114623,19.592716160662313,19.985791916661327,0.13527274449158486,0.8687896986670494,0.9484672849811879,1.7250736848326629,0.13527274449158486,12,KIF2A
O00151,20.993621184987273,21.706829861671924,23.607384500496444,22.165487298709895,22.587584342852963,22.85521219466988,22.72025427993771,22.4912072142469,20.993621184987273,21.706829861671924,23.607384500496444,22.165487298709895,22.587584342852963,22.85521219466988,22.72025427993771,22.4912072142469,0.365818652868893,0.4367341538855724,0.5452337964604794,0.9780559299490281,0.365818652868893,8,PDLIM1
O00154,20.275715317057504,19.750860703974283,NA,20.81111751240495,20.546137081288382,20.23432628496221,20.26510679811239,20.803885155074536,20.275715317057504,19.750860703974283,18.279636382946226,20.81111751240495,20.546137081288382,20.23432628496221,20.26510679811239,20.803885155074536,0.26904217305894357,0.5701796378741497,0.6830313507636383,1.2177198530114912,0.26904217305894357,12,ACOT7
O00161,NA,21.89596720152736,20.189785958860192,21.287937783040398,19.95603009946517,20.87056941439369,20.340497769167044,20.591127842235075,17.834561357381162,21.89596720152736,20.189785958860192,21.287937783040398,19.95603009946517,20.87056941439369,20.340497769167044,20.591127842235075,0.8855880873547458,0.05276823407930581,0.13749320611296767,0.1501216249837065,0.8855880873547458,6,SNAP23
O00170,22.408416821345718,21.41079913053051,21.92882484137875,21.977116383299,22.343265972845046,22.0211684103087,22.194061863052774,22.396890082904726,22.408416821345718,21.41079913053051,21.92882484137875,21.977116383299,22.343265972845046,22.0211684103087,22.194061863052774,22.396890082904726,0.21337401376429951,0.670858473224427,0.3075572881393178,1.3918454041497872,0.21337401376429951,8,AIP
O00182,NA,22.023200709436907,21.69408747899873,20.916631753060813,20.4893462407191,21.26017528675159,20.79034531463237,20.737851376802382,18.752405843859222,22.023200709436907,21.69408747899873,20.916631753060813,20.4893462407191,21.26017528675159,20.79034531463237,20.737851376802382,0.9724051575019619,0.012152746384951925,-0.02715189161255438,-0.03605886518997285,0.9724051575019619,6,LGALS9
O00193,NA,NA,NA,NA,20.775713150383517,20.777560339988746,21.014611698025977,20.703285154628514,18.18571984479246,17.67502578000684,16.870176373131308,18.557009454875054,20.775713150383517,20.777560339988746,21.014611698025977,20.703285154628514,1.9438354679973286e-4,3.711340497827886,2.995809722555272,8.066056969036701,1.9438354679973286e-4,1,SMAP
O00203,19.226868419615826,19.560146215271995,NA,19.51512616303982,18.88976536641254,18.88506477007669,19.594102227681358,19.55298048120694,19.226868419615826,19.560146215271995,17.966115939811868,19.51512616303982,18.88976536641254,18.88506477007669,19.594102227681358,19.55298048120694,0.7129645284499516,0.14693207671428163,0.16341402690950702,0.3857836808510361,0.7129645284499516,10,AP3B1
O00231,21.689487886485207,21.057814610413953,21.227996608558524,21.625958496731485,21.155485319843166,21.22158004143901,21.260347600283104,21.496873277351423,21.689487886485207,21.057814610413953,21.227996608558524,21.625958496731485,21.155485319843166,21.22158004143901,21.260347600283104,21.496873277351423,0.5184970013202361,0.2852537509699071,-0.11674284081811592,-0.6857128600720936,0.5184970013202361,5,PSMD11
O00232,22.56202063873098,21.651496717056627,NA,22.641873587980367,NA,21.206754452232104,NA,21.616342432305753,22.56202063873098,21.651496717056627,17.980634079569818,22.641873587980367,17.347999235732882,21.206754452232104,18.044464945378856,21.616342432305753,0.32513886270557774,0.48793111770821507,-1.6551159894220504,-1.0715038658773932,0.32513886270557774,7,PSMD12
O00233,18.876516946565,NA,NA,NA,19.406113638041507,19.778314598051633,19.791887819411144,18.86032924370478,18.876516946565,18.4655393010539,18.403606986774875,18.288788701236044,19.406113638041507,19.778314598051633,19.791887819411144,18.86032924370478,0.009496556624576843,2.0224338378721765,0.9505483408948123,3.7511808249980327,0.009496556624576843,3,PSMD9
