proteinID,LFQ.intensity.A1,LFQ.intensity.A2,LFQ.intensity.A3,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,impute_LFQ.intensity.A1,impute_LFQ.intensity.A2,impute_LFQ.intensity.A3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A6T1,17.61439352983663,17.789915664048692,17.853553233309988,19.034589428226795,18.989095090041822,18.556857764510056,17.61439352983663,17.789915664048692,17.853553233309988,19.034589428226795,18.989095090041822,18.556857764510056,0.0027535965870855716,2.5600996852976095,1.1075599518611199,6.585172948636547,0.0027535965870855716,7,Cdr2l
A2AG50,NA,NA,NA,19.873966716029656,19.577860279691098,19.69086078143845,16.41740008541092,16.832924810758634,16.31010764076296,19.873966716029656,19.577860279691098,19.69086078143845,6.093139315765929e-5,4.215158891894128,3.19408508007556,17.62018373254705,6.093139315765929e-5,7,Map7d2
O08585,18.11943764345557,17.954071323516228,NA,19.1589646384047,19.47611330415266,18.442246983827225,18.11943764345557,17.954071323516228,16.93869133946382,19.1589646384047,19.47611330415266,18.442246983827225,0.04749217097152835,1.323377977408819,1.355041539982988,2.82694200582007,0.04749217097152835,1,Clta
O08709,20.895856291815907,21.103031625326754,21.547690973970855,21.829041356595052,21.97956056445533,22.047367582823465,20.895856291815907,21.103031625326754,21.547690973970855,21.829041356595052,21.97956056445533,22.047367582823465,0.019178535475240267,1.7171845597986097,0.7697968709201106,3.7954553617999522,0.019178535475240267,2,Prdx6
O08915,18.42910429572018,18.74655368400661,18.81597112230786,19.446877329066062,19.369797536313648,19.727518335539397,18.42910429572018,18.74655368400661,18.81597112230786,19.446877329066062,19.369797536313648,19.727518335539397,0.006181837215614804,2.208882435262852,0.850854699628151,5.277207180155601,0.006181837215614804,8,Aip
O35593,19.777415862597625,20.425215903299385,20.959854812403282,22.152424733285056,22.03516691720813,22.011339197120773,19.777415862597625,20.425215903299385,20.959854812403282,22.152424733285056,22.03516691720813,22.011339197120773,0.008211732816315796,2.085565189633571,1.678814756437891,4.871341836752239,0.008211732816315796,3,Psmd14
O35658,NA,NA,NA,17.6822951151125,18.397908557303648,18.53784022244139,16.715680392398323,16.73042377365712,17.222852051240466,17.6822951151125,18.397908557303648,18.53784022244139,0.013635572909644882,1.8653266101044328,1.316362559187212,4.205482169857848,0.013635572909644882,6,C1qbp
O35668,NA,NA,NA,18.796679723581796,18.644912464409504,18.69496314581433,17.159958888832705,17.04335925641399,17.210101157756046,18.796679723581796,18.644912464409504,18.69496314581433,1.89663722490584e-5,4.722015729885316,1.5743786769342947,23.64566754992857,1.89663722490584e-5,6,Hap1
O35690,NA,17.794809284218278,18.20084114736919,20.330028396446558,19.240791332161958,20.73694358021894,17.139910996677383,17.794809284218278,18.20084114736919,20.330028396446558,19.240791332161958,20.73694358021894,0.01167505268298054,1.9327411510294206,2.3907339601875357,4.401774548943786,0.01167505268298054,5,Phox2b
O35737,22.18137795155272,22.07522320385021,22.375944099631276,23.295020026395886,23.336199253541785,23.412738323941642,22.18137795155272,22.07522320385021,22.375944099631276,23.295020026395886,23.336199253541785,23.412738323941642,2.7420697665617746e-4,3.561921499638649,1.137137449615036,12.024790342409698,2.7420697665617746e-4,5,Hnrnph1
O35887,NA,NA,NA,20.054175031975216,20.081348199900077,20.035099779202167,17.056656723853266,16.709938051966308,16.658815779994494,20.054175031975216,20.081348199900077,20.035099779202167,1.3313675525691328e-5,4.875702031665477,3.248404151754464,25.845374026227088,1.3313675525691328e-5,2,Calu
O54984,20.681574719528374,20.60295253205669,20.57450113868266,23.012635449816063,22.64588003725617,22.751645390421686,20.681574719528374,20.60295253205669,20.57450113868266,23.012635449816063,22.64588003725617,22.751645390421686,4.315267522501708e-5,4.364992275280212,2.183710829075398,19.223714651469486,4.315267522501708e-5,8,Get3
O54988,NA,18.476627556376517,NA,19.072451906663485,18.90174488129757,18.987597108246927,16.49346982404842,18.476627556376517,16.953103868247005,19.072451906663485,18.90174488129757,18.987597108246927,0.04916266557022211,1.3083645779610376,1.6795308825120117,2.792972331835689,0.04916266557022211,12,Slk
O70305,18.65846952219586,18.837627933171404,18.783791186648823,20.46193900930491,20.202635618815215,20.471298140391497,18.65846952219586,18.837627933171404,18.783791186648823,20.46193900930491,20.202635618815215,20.471298140391497,9.50271349210238e-5,4.022152364566168,1.6186613754985117,15.746315865822103,9.50271349210238e-5,15,Atxn2
O88413,NA,NA,NA,19.866756725441746,19.640029527173272,19.6037494810776,16.608770969726155,17.096223079666245,17.024258632581788,19.866756725441746,19.640029527173272,19.6037494810776,8.556787157151929e-5,4.067689270584513,2.7937610172394756,16.170071758680663,8.556787157151929e-5,5,Tulp3
O88447,NA,NA,NA,18.799876044036584,18.794714112313574,18.572596614907237,16.385443456952082,16.37583138744081,16.925734024097746,18.799876044036584,18.794714112313574,18.572596614907237,3.8961357601797504e-4,3.4093659186133163,2.160059300922253,10.989526322570596,3.8961357601797504e-4,8,Klc1
O88448,18.828080685813063,18.990453025099935,18.712029859925256,19.89127938367347,20.63803281493646,20.824386997119205,18.828080685813063,18.990453025099935,18.712029859925256,19.89127938367347,20.63803281493646,20.824386997119205,0.005595632510278455,2.252150815266501,1.607711874963627,5.425746893650029,0.005595632510278455,7,Klc2
O88569,22.5303387015629,22.481804357817747,22.668151798638963,23.125088016118823,23.866085070910255,23.56511602761838,22.5303387015629,22.481804357817747,22.668151798638963,23.125088016118823,23.866085070910255,23.56511602761838,0.012517777470269678,1.9024727732087454,0.9586647522092839,4.312855779258691,0.012517777470269678,1,Hnrnpa2b1
P00375,20.22740912024121,20.24458217786576,20.3091921069599,20.481779726889563,21.224880190841354,21.264534231910133,20.22740912024121,20.24458217786576,20.3091921069599,20.481779726889563,21.224880190841354,21.264534231910133,0.046207924198163754,1.335283540884714,0.730003581524727,2.8540148483216434,0.046207924198163754,1,Dhfr
P02468,NA,NA,NA,18.55446144715922,18.400787730996992,18.358273446628107,17.473771958341214,17.75453871336645,16.550368639244827,18.55446144715922,18.400787730996992,18.358273446628107,0.03300343962034437,1.4814407955678606,1.1782811046106083,3.196733846033418,0.03300343962034437,99,Lamc1
P04184,NA,NA,NA,18.359861065689742,18.135859559011248,18.278712607001708,16.203158238743853,17.03095569240832,16.66945445229395,18.359861065689742,18.135859559011248,18.278712607001708,0.0028303083934108487,2.548166240709084,1.6236216160855257,6.536652647360073,0.0028303083934108487,8,Tk1
