Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides B1,Peptides B2,Peptides B3,Peptides D1,Peptides D2,Peptides D3,Razor + unique peptides B1,Razor + unique peptides B2,Razor + unique peptides B3,Razor + unique peptides D1,Razor + unique peptides D2,Razor + unique peptides D3,Unique peptides B1,Unique peptides B2,Unique peptides B3,Unique peptides D1,Unique peptides D2,Unique peptides D3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type B1,Identification type B2,Identification type B3,Identification type D1,Identification type D2,Identification type D3,Sequence coverage B1 [%],Sequence coverage B2 [%],Sequence coverage B3 [%],Sequence coverage D1 [%],Sequence coverage D2 [%],Sequence coverage D3 [%],Intensity,Intensity B1,Intensity B2,Intensity B3,Intensity D1,Intensity D2,Intensity D3,LFQ intensity B1,LFQ intensity B2,LFQ intensity B3,LFQ intensity D1,LFQ intensity D2,LFQ intensity D3,MS/MS count B1,MS/MS count B2,MS/MS count B3,MS/MS count D1,MS/MS count D2,MS/MS count D3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A0A087WPF7,A0A087WPF7,1,1,1,,Auts2,sp|A0A087WPF7|AUTS2_MOUSE Autism susceptibility gene 2 protein homolog OS=Mus musculus OX=10090 GN=Auts2 PE=1 SV=2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1.2,1.2,1.2,138.92,1261,1261,1,5,0.0078261,1.7004,By matching,By MS/MS,By MS/MS,By matching,By matching,,1.2,1.2,1.2,1.2,1.2,0,945350,87026,91420,97037,372340,297530,0,0,0,0,0,0,0,0,1,1,0,0,0,2,,,,0,4626,TRUE,4838,23579;23580;23581;23582;23583,17970;17971,17970,,,10090
A2A432;Q3TCH7,A2A432;Q3TCH7,5;3,5;3,5;3,Cullin-4B;Cullin-4A,Cul4b;Cul4a,sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1;sp|Q3TCH7|CUL4A_MOUSE Cullin-4A OS=Mus musculus OX=10090 GN=Cul4a PE=1 SV=1,2,5,5,5,5,4,4,5,5,4,5,4,4,5,5,4,5,4,4,5,5,4,6.8,6.8,6.8,110.7,970,970;759,1,27,0,8.2,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,6.8,4.9,5.7,6.8,6.8,5.5,16313000,1811000,1721800,693810,4608800,3559100,3918300,572190,416440,385330,390200,343490,355380,3,1,0,3,1,2,10,,,,1,621;2078;7594;7971;8144,True;True;True;True;True,656;2173;7992;8380;8559,3033;3034;3035;3036;3037;10113;10114;10115;10116;10117;39600;39601;39602;39603;39604;39605;41495;41496;41497;41498;41499;42367;42368;42369;42370;42371;42372,2311;7605;29985;31251;31252;31253;31254;31842;31843;31844,2311;7605;29985;31251;31842,,,10090;10090
A2A6T1,A2A6T1,2,2,2,Cerebellar degeneration-related protein 2-like,Cdr2l,sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1,1,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,4.7,4.7,4.7,53.212,465,465,1,7,0,12.288,By MS/MS,,,By MS/MS,By MS/MS,By MS/MS,1.9,0,0,4.7,4.7,4.7,5707800,97414,0,0,2145800,1017700,2446900,0,0,0,316860,220490,352750,0,0,0,1,1,2,4,,,,2,3316;6305,True;True,3458;6595,16316;16317;16318;32510;32511;32512;32513,12333;24535;24536;24537,12333;24537,,,10090
A2AG50,A2AG50,3,3,3,MAP7 domain-containing protein 2,Map7d2,sp|A2AG50|MA7D2_MOUSE MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1,1,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,1,1,1,3,3,3,5,5,5,86.049,781,781,1,12,0,11.264,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.5,1.5,1.5,5,5,5,21113000,141450,292300,134990,6764700,4645100,9134700,0,0,0,776620,585150,890860,0,0,0,2,3,3,8,,,,3,352;3561;9104,True;True;True,371;3714;9570,1735;1736;1737;17571;17572;17573;47347;47348;47349;47350;47351;47352,1345;1346;13317;13318;13319;13320;35896;35897;35898,1345;13318;35896,,,10090
A2AGT5,A2AGT5,11,11,11,Cytoskeleton-associated protein 5,Ckap5,sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,1,11,11,11,9,6,6,11,11,11,9,6,6,11,11,11,9,6,6,11,11,11,6,6,6,225.63,2032,2032,1,57,0,24.237,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,4.9,3.7,3.4,6,6,6,56284000,2960600,2158400,915170,16783000,14490000,18976000,644030,445810,381170,634800,620210,649110,3,3,0,9,9,6,30,,,,4,373;1472;1602;2329;3469;4078;5412;7198;8694;10266;10608,True;True;True;True;True;True;True;True;True;True;True,394;1543;1678;2432;3619;4253;5662;7581;9135;10795;11146,1835;1836;1837;1838;1839;1840;7117;7118;7119;7120;7121;7122;7791;7792;7793;7794;7795;11366;11367;11368;11369;11370;11371;17094;17095;17096;17097;17098;17099;20429;20430;20431;20432;20433;27944;27945;27946;27947;37552;37553;37554;37555;37556;45094;45095;45096;45097;45098;45099;53511;53512;53513;53514;55238;55239;55240;55241,1418;1419;1420;5431;5432;5433;5434;5920;5921;5922;5923;8546;8547;12958;12959;15586;15587;21180;21181;21182;28540;33868;33869;33870;33871;40709;40710;40711;41993;41994,1420;5434;5920;8547;12959;15586;21181;28540;33871;40711;41994,,,10090
A2AKX3,A2AKX3,1,1,1,Probable helicase senataxin,Setx,sp|A2AKX3|SETX_MOUSE Probable helicase senataxin OS=Mus musculus OX=10090 GN=Setx PE=1 SV=1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0.7,0.7,0.7,297.59,2646,2646,1,3,0,3.2793,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,0.7,0.7,0.7,557610,0,0,0,84585,167440,305590,0,0,0,0,0,0,0,0,0,2,1,2,5,,,,5,653,TRUE,688,3173;3174;3175,2417;2418;2419;2420;2421,2421,,,10090
A2AN08,A2AN08,24,24,24,E3 ubiquitin-protein ligase UBR4,Ubr4,sp|A2AN08|UBR4_MOUSE E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,1,24,24,24,17,16,15,22,19,23,17,16,15,22,19,23,17,16,15,22,19,23,5.1,5.1,5.1,572.28,5180,5180,1,118,0,58.038,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,3.4,3.2,3.1,4.4,3.9,4.8,92312000,5896800,6109000,3650400,24310000,18196000,34149000,729180,672970,580300,610840,588460,632520,10,10,3,17,12,19,71,,,,6,592;1988;2880;3386;3467;3694;4168;4350;5855;5946;5980;6006;6215;7074;7598;8074;8306;8328;8666;8740;8979;9540;9631;10572,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,626;2079;3002;3532;3616;3857;4346;4545;6123;6215;6252;6279;6500;7448;7996;8485;8732;8756;9107;9186;9437;10028;10125;11110,2885;2886;2887;2888;2889;2890;2891;2892;2893;2894;2895;9685;14098;14099;14100;14101;16663;16664;16665;16666;16667;17077;17078;17079;17080;17081;17082;18299;18300;18301;18302;18303;18304;20871;20872;20873;20874;20875;20876;22061;22062;22063;30242;30243;30244;30245;30246;30247;30666;30667;30668;30669;30670;30860;30861;30862;30863;30864;30865;30984;30985;30986;30987;30988;32032;32033;32034;32035;32036;32037;36865;36866;36867;36868;39627;39628;39629;42027;42028;42029;42030;43257;43258;43259;43371;43372;43373;43374;43375;43376;44948;44949;44950;45310;45311;46401;46402;46403;46404;46405;49691;49692;49693;49694;49695;49696;50107;50108;50109;50110;50111;50112;55068;55069;55070;55071;55072;55073,2205;2206;2207;2208;2209;2210;2211;2212;2213;7298;10591;10592;10593;12591;12592;12593;12594;12950;12951;13887;13888;15891;15892;16812;16813;22897;22898;22899;23218;23219;23220;23221;23356;23427;23428;23429;23430;24192;24193;24194;24195;28023;28024;30006;30007;31591;31592;31593;32466;32555;32556;32557;33743;33744;33745;34026;34027;34839;34840;34841;37785;37786;37787;37788;37789;38102;38103;38104;38105;38106;41860,2212;7298;10593;12592;12951;13887;15891;16812;22898;23219;23356;23428;24194;28023;30007;31592;32466;32556;33744;34026;34840;37785;38103;41860,,,10090
A2AR02,A2AR02,2,2,2,Peptidyl-prolyl cis-trans isomerase G,Ppig,sp|A2AR02|PPIG_MOUSE Peptidyl-prolyl cis-trans isomerase G OS=Mus musculus OX=10090 GN=Ppig PE=1 SV=1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2.4,2.4,2.4,88.324,752,752,1,11,0,4.5588,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,2.4,2.4,2.4,2.4,2.4,2.4,16543000,3952200,2103600,2521900,1609000,2550700,3805700,1709400,832980,2690300,0,601980,620150,1,1,2,0,0,0,4,,,,7,1612;9128,True;True,1688;9594,7834;7835;7836;7837;7838;7839;47440;47441;47442;47443;47444,5952;5953;5954;35951;35952,5952;35951,,,10090
A2ASS6,A2ASS6,2,2,2,Titin,Ttn,sp|A2ASS6|TITIN_MOUSE Titin OS=Mus musculus OX=10090 GN=Ttn PE=1 SV=1,1,2,2,2,2,1,1,0,1,1,2,1,1,0,1,1,2,1,1,0,1,1,0.1,0.1,0.1,3906.4,35213,35213,1,6,0.0014684,2.403,By MS/MS,By MS/MS,By MS/MS,,By MS/MS,By MS/MS,0.1,0,0,0,0,0,7421600,2534600,2041500,1831900,0,489780,523760,0,0,0,0,0,0,1,1,1,0,0,1,4,,,,8,8811;10142,True;True,9262;10661,45631;45632;45633;52856;52857;52858,34255;40209;40210;40211,34255;40211,,,10090
A2AWA9,A2AWA9,1,1,1,Rab GTPase-activating protein 1,Rabgap1,sp|A2AWA9|RBGP1_MOUSE Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1.4,1.4,120.8,1064,1064,1,6,0,11.149,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,1.4,1.4,1.4,1.4,1.4,1.4,3507900,319680,242520,130780,881580,618460,1314900,0,0,0,0,0,0,0,1,0,1,1,1,4,,,,9,3267,TRUE,3408,16057;16058;16059;16060;16061;16062,12103;12104;12105;12106,12106,,,10090
A6H5Z3,A6H5Z3,2,2,2,Exocyst complex component 6B,Exoc6b,sp|A6H5Z3|EXC6B_MOUSE Exocyst complex component 6B OS=Mus musculus OX=10090 GN=Exoc6b PE=1 SV=1,1,2,2,2,0,0,0,2,1,1,0,0,0,2,1,1,0,0,0,2,1,1,3.7,3.7,3.7,94.128,810,810,1,4,0.0010241,2.7548,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,3.7,2.3,2.3,34008000,0,0,0,12902000,9710600,11396000,0,0,0,0,0,0,0,0,0,1,1,0,2,,,,10,366;7026,True;True,387;7397,1804;1805;1806;36621,1399;27846,1399;27846,,,10090
B1AXD8,B1AXD8,2,2,2,Akirin-2,Akirin2,sp|B1AXD8|AKIR2_MOUSE Akirin-2 OS=Mus musculus OX=10090 GN=Akirin2 PE=1 SV=1,1,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,10,10,10,22.113,201,201,1,7,0.0032214,2.0303,By matching,,,By MS/MS,By MS/MS,By MS/MS,4,0,0,10,10,10,6185800,79889,0,0,1985700,1333200,2787000,0,0,0,255560,193220,0,0,0,0,1,1,0,2,,,,11,1926;10377,True;True,2016;10910,9368;9369;9370;9371;54078;54079;54080,7066;41112,7066;41112,,,10090
B1AZI6,B1AZI6,2,2,2,THO complex subunit 2,Thoc2,sp|B1AZI6|THOC2_MOUSE THO complex subunit 2 OS=Mus musculus OX=10090 GN=Thoc2 PE=1 SV=1,1,2,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1.6,1.6,1.6,182.77,1594,1594,1,2,0.001001,2.5686,,,,,By MS/MS,By MS/MS,0,0,0,0,0.6,0.9,761320,0,0,0,0,0,761320,0,0,0,0,0,0,0,0,0,0,1,2,3,,,,12,2662;10212,True;True,2776;10733,13045;53215,9793;9794;40473,9794;40473,,,10090
B1AZP2,B1AZP2,1,1,1,Disks large-associated protein 4,Dlgap4,sp|B1AZP2|DLGP4_MOUSE Disks large-associated protein 4 OS=Mus musculus OX=10090 GN=Dlgap4 PE=1 SV=1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1.1,1.1,1.1,108.04,992,992,1,3,0.0036397,1.9682,By matching,,,By MS/MS,By matching,,1.1,0,0,1.1,1.1,0,893920,93494,0,0,407750,392680,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,13,1876,TRUE,1966,9159;9160;9161,6916,6916,,,10090
B2RQC6,B2RQC6,26,26,26,CAD protein;Glutamine-dependent carbamoyl-phosphate synthase;Aspartate carbamoyltransferase;Dihydroorotase,Cad,sp|B2RQC6|PYR1_MOUSE CAD protein OS=Mus musculus OX=10090 GN=Cad PE=1 SV=1,1,26,26,26,19,19,17,24,21,23,19,19,17,24,21,23,19,19,17,24,21,23,17.1,17.1,17.1,243.24,2225,2225,1,124,0,153.85,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,12,11.1,10.7,15.3,11.7,14.9,264150000,19581000,22447000,10521000,61681000,59813000,90106000,1623000,1608600,1311300,1308300,1396600,1477400,15,15,12,19,17,22,100,,,,14,451;758;1212;1333;1815;2913;3109;3211;4515;5229;5288;5630;5871;6155;6406;6615;6640;7506;7510;8154;9017;9877;9923;10174;10270;10327,True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True,475;800;1271;1396;1901;3035;3239;3346;4718;5468;5528;5887;6139;6439;6697;6912;6939;7904;7908;8569;9475;10379;10429;10694;10799;10858,2192;2193;2194;3698;3699;3700;3701;3702;5833;5834;5835;5836;6415;6416;6417;6418;6419;6420;8866;8867;8868;14269;14270;14271;14272;14273;14274;15258;15259;15260;15261;15262;15263;15775;15776;15777;15778;15779;22970;22971;22972;22973;22974;22975;26935;26936;26937;26938;26939;27220;27221;27222;27223;27224;27225;29014;29015;29016;29017;29018;29019;30302;30303;30304;30305;30306;30307;31745;31746;31747;31748;31749;31750;33023;33024;33025;34026;34027;34028;34029;34030;34031;34165;34166;34167;39156;39157;39172;39173;42418;42419;42420;42421;46910;46911;46912;51381;51382;51383;51384;51635;51636;51637;51638;51639;51640;53019;53020;53021;53022;53023;53024;53025;53534;53535;53536;53537;53538;53827;53828;53829;53830;53831;53832,1688;1689;1690;2821;2822;4439;4440;4878;4879;4880;4881;4882;4883;6708;10740;10741;10742;10743;10744;10745;11501;11502;11503;11504;11505;11881;11882;11883;17524;17525;17526;17527;17528;17529;20454;20455;20456;20457;20652;20653;20654;20655;21997;21998;21999;22000;22001;22002;22942;22943;22944;22945;22946;22947;23983;23984;23985;23986;23987;23988;24901;24902;24903;25568;25569;25570;25571;25660;25661;29674;29687;29688;31862;31863;31864;31865;31866;35551;35552;39065;39264;39265;39266;39267;39268;39269;40334;40335;40336;40337;40338;40339;40725;40726;40727;40728;40729;40948;40949;40950;40951;40952,1688;2821;4439;4882;6708;10744;11505;11882;17525;20456;20654;21999;22945;23984;24901;25569;25660;29674;29688;31866;35552;39065;39265;40337;40726;40950,,,10090
B2RX14,B2RX14,2,2,2,Terminal uridylyltransferase 4,Zcchc11,sp|B2RX14|TUT4_MOUSE Terminal uridylyltransferase 4 OS=Mus musculus OX=10090 GN=Tut4 PE=1 SV=2,1,2,2,2,0,1,0,1,1,2,0,1,0,1,1,2,0,1,0,1,1,2,1.6,1.6,1.6,184.65,1644,1644,1,5,0.0074824,1.7447,,By matching,,By MS/MS,By MS/MS,By MS/MS,0,0.9,0,0.9,0.9,1.6,625220,0,34978,0,217360,139610,233280,0,0,0,0,0,0,0,0,0,1,0,1,2,,,,15,3124;3792,True;True,3255;3959,15329;15330;15331;15332;18857,11552;14334,11552;14334,,,10090
B2RY56,B2RY56,4,4,4,RNA-binding protein 25,Rbm25,sp|B2RY56|RBM25_MOUSE RNA-binding protein 25 OS=Mus musculus OX=10090 GN=Rbm25 PE=1 SV=2,1,4,4,4,2,3,1,4,4,1,2,3,1,4,4,1,2,3,1,4,4,1,7.8,7.8,7.8,99.551,838,838,1,15,0,7.9069,By matching,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,4.2,6,1.2,7.8,7.8,1.8,11303000,873210,794240,351360,4934100,3979200,371070,520270,446110,0,650360,774850,0,0,0,0,2,4,0,6,,,,16,4318;5532;5839;5922,True;True;True;True,4513;5785;6107;6190,21896;21897;21898;21899;28511;28512;28513;28514;30159;30160;30535;30536;30537;30538;30539,16687;21606;21607;22836;23121;23122,16687;21607;22836;23122,0,762,10090
B7ZNG0,B7ZNG0,1,1,1,Kinesin-like protein KIF7,Kif7,sp|B7ZNG0|KIF7_MOUSE Kinesin-like protein KIF7 OS=Mus musculus OX=10090 GN=Kif7 PE=1 SV=1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,151.62,1348,1348,1,1,0,113.55,,,,By MS/MS,,,0,0,0,1,0,0,1166800,0,0,0,1166800,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,17,1568,TRUE,1642,7603,5802,5802,,,10090
B8ZXI1,B8ZXI1,4,4,4,Queuine tRNA-ribosyltransferase subunit QTRTD1,Qtrtd1,sp|B8ZXI1|QTRT2_MOUSE Queuine tRNA-ribosyltransferase accessory subunit 2 OS=Mus musculus OX=10090 GN=Qtrt2 PE=1 SV=2,1,4,4,4,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,15.7,15.7,15.7,46.288,415,415,1,11,0,9.8751,By MS/MS,By MS/MS,By MS/MS,By matching,By MS/MS,By MS/MS,8.4,5.5,7.2,6,7.2,9.2,5856700,779220,299800,251190,1014700,1343800,2168000,0,0,265760,0,267940,0,1,0,0,0,2,2,5,,,,18,2015;5653;9256;10937,True;True;True;True,2108;5912;9733;11487,9807;9808;9809;29150;29151;48060;48061;48062;48063;57052;57053,7382;22113;36446;36447;43403,7382;22113;36447;43403,,,10090
B9EJR8,B9EJR8,3,3,3,"Dynein assembly factor 5, axonemal",Dnaaf5,"sp|B9EJR8|DAAF5_MOUSE Dynein assembly factor 5, axonemal OS=Mus musculus OX=10090 GN=Dnaaf5 PE=1 SV=1",1,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3.9,3.9,3.9,93.85,853,853,1,17,0,4.5856,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,2.3,3.9,3.9,3.9,3.9,3.9,6507300,575340,608250,312170,1708100,1854100,1449400,340800,255560,241220,244690,296610,232820,1,1,2,1,2,2,9,,,,19,32;379;5463,True;True;True,33;400;5714,146;147;148;149;150;151;1865;1866;1867;1868;1869;28182;28183;28184;28185;28186;28187,118;119;120;121;122;1436;1437;21360;21361,122;1436;21360,,,10090
B9EK06,B9EK06,1,1,1,,Gm7271,sp|B9EK06|EXC1L_MOUSE Exocyst complex component 1-like OS=Mus musculus OX=10090 GN=EXOC1L PE=2 SV=1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6.4,6.4,6.4,20.158,172,172,1,1,1,-2,,,By MS/MS,,,,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,+,,,20,6829,TRUE,7184,35263,26414,26414,1,1,10090
