proteinID,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,LFQ.intensity.D1,LFQ.intensity.D2,LFQ.intensity.D3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,impute_LFQ.intensity.D1,impute_LFQ.intensity.D2,impute_LFQ.intensity.D3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A690,21.269279661452465,20.883678444703275,21.410540374357115,NA,NA,NA,21.269279661452465,20.883678444703275,21.410540374357115,19.097524944895376,19.509406426629315,18.991173220473975,8.75627138011821e-4,3.0576807869554723,-1.9884646295047297,-8.913760011992979,8.75627138011821e-4,26,Tanc2
A2A6T1,22.77118557681733,22.587653009373515,23.244437006849537,23.014407384049065,22.591196340310162,22.93924847653673,22.77118557681733,22.587653009373515,23.244437006849537,23.014407384049065,22.591196340310162,22.93924847653673,0.9379630667947245,0.0278142620506147,-0.019474464048141016,-0.08283410750698328,0.9379630667947245,7,Cdr2l
A2ADY9,22.47615286852461,22.621762147149028,22.665313361018224,22.747697198447796,22.719230877139786,22.488071558505375,22.47615286852461,22.621762147149028,22.665313361018224,22.747697198447796,22.719230877139786,22.488071558505375,0.5579931061563501,0.2533711666121541,0.06392375246702997,0.6382969121796692,0.5579931061563501,8,Ddi2
A2AG50,23.20938970275442,22.814857019201742,23.403016185701567,22.96068570011331,23.012771829741567,23.044602234624065,23.20938970275442,22.814857019201742,23.403016185701567,22.96068570011331,23.012771829741567,23.044602234624065,0.47874086801840143,0.31989949711113763,-0.13640104772626316,-0.7804286309837077,0.47874086801840143,7,Map7d2
A2AGT5,21.454578432088784,21.228290263028565,21.267108992229467,20.837535544516456,21.627606909371654,21.48074484799227,21.454578432088784,21.228290263028565,21.267108992229467,20.837535544516456,21.627606909371654,21.48074484799227,0.9959496879111838,0.0017626001450142918,-0.0013634618221445294,-0.005400448931352949,0.9959496879111838,29,Ckap5
A2APB8,21.80286026169929,21.169071103348667,21.447835913696,21.943207325571066,21.811195926136573,21.65530185996243,21.80286026169929,21.169071103348667,21.447835913696,21.943207325571066,21.811195926136573,21.65530185996243,0.17666225190538573,0.7528562379325694,0.3299792776420354,1.6384890545463293,0.17666225190538573,8,Tpx2
B1AXD8,22.87181050716582,22.885187686248305,23.250579472872744,22.773742886918562,22.64301942354473,22.52200292125539,22.87181050716582,22.885187686248305,23.250579472872744,22.773742886918562,22.64301942354473,22.52200292125539,0.06840335692151585,1.1649225845851965,-0.3562708115227302,-2.477375025136329,0.06840335692151585,4,Akirin2
B2RQC6,21.89822051835558,22.12930817533053,21.572143226732024,22.127136650039787,23.036156840052705,22.649020174887273,21.89822051835558,22.12930817533053,21.572143226732024,22.127136650039787,23.036156840052705,22.649020174887273,0.07542592091635499,1.12247937858155,0.7375472481872123,2.386844300218175,0.07542592091635499,45,Cad
B2RY56,21.749560127490515,21.656131534630845,21.23572911632553,21.23016823755679,21.545005925366947,21.99986103132519,21.749560127490515,21.656131534630845,21.23572911632553,21.23016823755679,21.545005925366947,21.99986103132519,0.878602750979482,0.05620744125583557,0.04453813860067868,0.1627549735620212,0.878602750979482,6,Rbm25
B7ZNG4,22.756967527123198,22.531790739758225,22.575332423661518,22.735642785289127,22.4723646080349,22.481730463771605,22.756967527123198,22.531790739758225,22.575332423661518,22.735642785289127,22.4723646080349,22.481730463771605,0.6264909364279216,0.20308520765117702,-0.058117611149103965,-0.5263323059881821,0.6264909364279216,16,Troap
B8ZXI1,21.031335055617102,NA,20.502614289710145,20.66014217188354,19.754747259419812,20.500767981858594,21.031335055617102,19.10291708189038,20.502614289710145,20.66014217188354,19.754747259419812,20.500767981858594,0.8914735889292154,0.04989151883995674,0.09293032864810513,0.14533793627839942,0.8914735889292154,18,Qtrt2
