proteinID,LFQ.intensity.B1,LFQ.intensity.B2,LFQ.intensity.B3,LFQ.intensity.D1,LFQ.intensity.D2,LFQ.intensity.D3,impute_LFQ.intensity.B1,impute_LFQ.intensity.B2,impute_LFQ.intensity.B3,impute_LFQ.intensity.D1,impute_LFQ.intensity.D2,impute_LFQ.intensity.D3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A6T1,NA,NA,NA,19.46109969864992,19.028046338129737,19.31107863587724,15.72404845283398,16.13955772328312,15.616759998788142,19.46109969864992,19.028046338129737,19.31107863587724,7.222195510845534e-5,4.1413307590368476,3.439952832583888,16.879004178741482,7.222195510845534e-5,7,Cdr2l
A2ADY9,NA,NA,NA,19.130389571086987,19.136059898541635,18.82932014123919,16.86360479525947,16.214373480046177,15.624535875439948,19.130389571086987,19.136059898541635,18.82932014123919,0.00167140148105768,2.7769192173328436,2.7977518200407374,7.523022559619814,0.00167140148105768,8,Ddi2
A2AG50,NA,NA,NA,19.284665980567887,19.347932737866305,19.357135293399423,16.295373341993393,16.424060958716197,16.34069037597488,19.284665980567887,19.347932737866305,19.357135293399423,2.869970543463643e-7,6.542122560714386,2.976536445049714,67.59430362007235,2.869970543463643e-7,7,Map7d2
A2APB8,NA,NA,NA,17.8920802794432,17.908416077513355,17.516069333750497,16.245320318140628,15.726722385852396,14.9094165524974,17.8920802794432,17.908416077513355,17.516069333750497,0.006343373737510196,2.1976797001811694,2.1450354780722094,5.239280671635324,0.006343373737510196,8,Tpx2
B1AXD8,NA,NA,NA,19.107125105756015,19.038640400199817,18.893265975043853,16.62235627243504,16.02231766567557,16.037060498573588,19.107125105756015,19.038640400199817,18.893265975043853,1.777746250777323e-4,3.750130228603002,2.785765681438498,13.430733331469796,1.777746250777323e-4,4,Akirin2
B2RY56,NA,NA,NA,17.648989465386826,17.85568366115662,18.434163954866367,16.52947046093134,16.466579637752474,16.349984342104552,17.648989465386826,17.85568366115662,18.434163954866367,0.003136446950938296,2.5035620536103402,1.5309342135404798,6.357997546965875,0.003136446950938296,6,Rbm25
B7ZNG4,NA,NA,NA,19.147433508477413,18.939452954609624,18.863418008877964,16.516720041699717,16.446532491252274,16.08361003519107,19.147433508477413,18.939452954609624,18.863418008877964,7.732992398151344e-5,4.111652416751027,2.6344806346073106,16.58972034638148,7.732992398151344e-5,16,Troap
D3YZP9,NA,NA,NA,20.547267351013275,20.578560652891447,20.349920457109693,15.290996823551154,15.800115362157067,16.259732310868664,20.547267351013275,20.578560652891447,20.349920457109693,8.282358016197964e-5,4.0818460004578085,4.708301321479176,16.30406108169765,8.282358016197964e-5,3,Ccdc6
E9Q6B2,NA,NA,NA,18.075876036587218,17.620133893685264,17.93439348409131,16.436807379407718,15.960978418558478,15.915412219359522,18.075876036587218,17.620133893685264,17.93439348409131,0.00116677308480587,2.93301359776689,1.772401799012691,8.269762328490081,0.00116677308480587,5,Ccdc85c
F6ZDS4,NA,NA,17.357242704711755,18.236173062037185,17.89409538253107,18.028100312017802,16.40284619915606,16.330884428695068,17.357242704711755,18.236173062037185,17.89409538253107,18.028100312017802,0.017174934528089703,1.765104909822622,1.3557984746743905,3.9250159669780116,0.017174934528089703,7,Tpr
G5E8K5,NA,NA,NA,18.64670635834144,18.511598247491115,18.60516117330055,15.692093012960132,15.682481300957212,16.23236348470495,18.64670635834144,18.511598247491115,18.60516117330055,1.2756525436518297e-4,3.8942676006331545,2.718842660170271,14.613196133255437,1.2756525436518297e-4,26,Ank3
O08553,20.24585905331217,19.846362681186775,20.286810413255058,20.94492362799324,21.210564336130457,21.16220199014733,20.24585905331217,19.846362681186775,20.286810413255058,20.94492362799324,21.210564336130457,21.16220199014733,0.0038178124766939238,2.418185407094033,0.979552602172344,6.027573079374649,0.0038178124766939238,7,Dpysl2
O08663,NA,NA,NA,18.341649118575283,18.931106833029343,18.68797704555799,16.22032938340274,15.4660997930572,16.780381035394388,18.341649118575283,18.931106833029343,18.68797704555799,0.0039200873116341465,2.4067042598829533,2.4979742617694285,5.984260747014969,0.0039200873116341465,15,Metap2
O08709,20.04899765291107,19.792761703404725,19.97112812657988,22.36412717230797,21.902900589132205,22.083914262159368,20.04899765291107,19.792761703404725,19.97112812657988,22.36412717230797,21.902900589132205,22.083914262159368,1.4518743420076504e-4,3.8380709696787707,2.179351513567955,14.140668246889668,1.4518743420076504e-4,2,Prdx6
O08795,NA,NA,NA,18.453744872922282,18.243304171303443,18.27148126574218,16.337581239433224,15.976093444884567,17.277185422627024,18.453744872922282,18.243304171303443,18.27148126574218,0.010358819350284805,1.9846897406212551,1.79255673434103,4.557454790960291,0.010358819350284805,17,Prkcsh
O08807,22.557493617823827,22.45080851798546,22.718018563423936,24.417896799235947,24.359911990755123,24.17926827082831,22.557493617823827,22.45080851798546,22.718018563423936,24.417896799235947,24.359911990755123,24.17926827082831,7.938718646238703e-5,4.10024958948416,1.7435854538620497,16.479865568055985,7.938718646238703e-5,4,Prdx4
O08915,NA,NA,NA,19.790058895127576,19.45641457962781,19.653772261756924,16.399140909725123,16.059727361820034,15.664130276604878,19.790058895127576,19.45641457962781,19.653772261756924,1.0401079211420173e-4,3.98292159615815,3.5924157294540926,15.389929376995681,1.0401079211420173e-4,8,Aip
O08992,NA,NA,NA,20.680287403443238,20.41792254532621,20.69964700434063,16.14219869913022,15.119578129369286,16.797066686926357,20.680287403443238,20.41792254532621,20.69964700434063,7.677005533576177e-4,3.1148081463541093,4.579671145894739,9.22398131961587,7.677005533576177e-4,4,Sdcbp
O08997,NA,NA,NA,18.28061673623662,19.090706871180515,18.6920365095907,16.123970307439947,17.159725244906795,16.28925966461842,18.28061673623662,19.090706871180515,18.6920365095907,0.005526726796432439,2.257532003436032,2.163468300014223,5.444451847624433,0.005526726796432439,3,Atox1
O09000,NA,NA,NA,18.325797326866418,17.939452954609624,18.14932042316623,15.681224010922842,16.35861411819275,15.566253968612337,18.325797326866418,17.939452954609624,18.14932042316623,0.0011159281883241915,2.9523637520095485,2.2694928689714473,8.366849658944547,0.0011159281883241915,16,Ncoa3
O09061,NA,NA,NA,19.566050320799874,19.472885154690697,19.61807357865978,15.402359951017665,16.19485122710054,15.817994573305013,19.566050320799874,19.472885154690697,19.61807357865978,8.70797587995949e-5,4.060082782572492,3.7472677675757105,16.098522589778796,8.70797587995949e-5,4,Psmb1
O35126,NA,NA,NA,17.895516115524362,17.966798323156567,17.936925437267984,16.04593164247534,16.08349531749534,15.742991795482897,17.895516115524362,17.966798323156567,17.936925437267984,5.598836675735328e-5,4.251902201171111,1.9756070401651122,18.000835061232664,5.598836675735328e-5,3,Atn1
O35326,18.863599495171503,18.481917654671395,18.597216018145136,19.268377516671748,19.598906665937896,19.13260013642403,18.863599495171503,18.481917654671395,18.597216018145136,19.268377516671748,19.598906665937896,19.13260013642403,0.018516421248897744,1.732442947570002,0.685717050348547,3.8364008809197316,0.018516421248897744,2,Srsf5
O35427,NA,NA,NA,18.544270198136473,18.399077610477097,18.561974040806497,16.649620710753783,15.263907628028024,16.35000735466547,18.544270198136473,18.399077610477097,18.561974040806497,0.004706072232183648,2.3273414112445643,2.4139287186575977,5.691871173142237,0.004706072232183648,1,Crcp
O35593,NA,18.472984285143266,NA,21.69204502586412,21.609730640059222,21.57140269479012,16.216139233685634,18.472984285143266,16.590642313462514,21.69204502586412,21.609730640059222,21.57140269479012,0.002922319986269548,2.5342722317068063,4.531137509474014,6.4805477623720265,0.002922319986269548,3,Psmd14
O35668,NA,NA,NA,19.220222432929344,17.690161706268306,18.644067506579177,15.889344835083087,16.235152114064174,16.182363108618503,19.220222432929344,17.690161706268306,18.644067506579177,0.0062372991672984225,2.205003424845629,2.415863862670353,5.264050388940969,0.0062372991672984225,6,Hap1
O35690,NA,NA,NA,19.64937548014047,19.534766418469058,19.426629215891683,15.767099171179968,16.66489567206057,16.640550163679954,19.64937548014047,19.534766418469058,19.426629215891683,4.6164034152974094e-4,3.3356962463466537,3.1794087025269064,10.520410123928713,4.6164034152974094e-4,5,Phox2b
O35711,NA,NA,NA,17.72007053862311,17.516838812162728,17.776612946847507,16.40451330667444,16.859272041709623,16.331819585286684,17.72007053862311,17.516838812162728,17.776612946847507,0.003384249270410772,2.4705376560417256,1.1393057879875315,6.228418461819896,0.003384249270410772,11,Ppfibp2
O35955,NA,NA,NA,17.19710148181475,17.044415465895618,17.41790194849076,15.802551400258139,15.727170622137033,16.066966467978325,17.19710148181475,17.044415465895618,17.41790194849076,8.243115429770705e-4,3.0839086186129916,1.3542434686092086,9.054970556716059,8.243115429770705e-4,5,Psmb10
