Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides B1,Peptides B2,Peptides B3,Peptides D1,Peptides D2,Peptides D3,Razor + unique peptides B1,Razor + unique peptides B2,Razor + unique peptides B3,Razor + unique peptides D1,Razor + unique peptides D2,Razor + unique peptides D3,Unique peptides B1,Unique peptides B2,Unique peptides B3,Unique peptides D1,Unique peptides D2,Unique peptides D3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type B1,Identification type B2,Identification type B3,Identification type D1,Identification type D2,Identification type D3,Sequence coverage B1 [%],Sequence coverage B2 [%],Sequence coverage B3 [%],Sequence coverage D1 [%],Sequence coverage D2 [%],Sequence coverage D3 [%],Intensity,Intensity B1,Intensity B2,Intensity B3,Intensity D1,Intensity D2,Intensity D3,LFQ intensity B1,LFQ intensity B2,LFQ intensity B3,LFQ intensity D1,LFQ intensity D2,LFQ intensity D3,MS/MS count B1,MS/MS count B2,MS/MS count B3,MS/MS count D1,MS/MS count D2,MS/MS count D3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A0A087WPF7,A0A087WPF7,3,3,3,,Auts2,sp|A0A087WPF7|AUTS2_MOUSE Autism susceptibility gene 2 protein homolog OS=Mus musculus OX=10090 GN=Auts2 PE=1 SV=2,1,3,3,3,3,3,2,1,1,2,3,3,2,1,1,2,3,3,2,1,1,2,2.7,2.7,2.7,138.92,1261,1261,1,12,0,7.1147,By MS/MS,By MS/MS,By MS/MS,By matching,By matching,By MS/MS,2.7,2.7,1.7,1.2,1.2,1.7,4553200,896670,889220,398960,619550,763970,984820,1252600,269150,266930,0,0,145180,3,2,1,0,0,1,7,,,,0,4814;5882;10760,True;True;True,5000;6109;11253,20112;20113;20114;20115;20116;20117;24737;24738;46150;46151;46152;46153,15952;15953;15954;15955;19544;19545;36581,15953;19544;36581,,,-1
A2A6A1;A2AKY4,A2A6A1;A2AKY4,1;1,1;1,1;1,G patch domain-containing protein 8;Zinc finger protein 804A,Gpatch8;Znf804a,sp|A2A6A1|GPTC8_MOUSE G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1;sp|A2AKY4|Z804A_MOUSE Zinc finger protein 804A OS=Mus musculus OX=10090 GN=Znf804a PE=2 SV=1,2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1.1,1.1,1.1,164.99,1505,1505;1200,1,3,0.00045372,2.5235,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,1.1,1.1,1.1,1385900,0,0,0,428800,476480,480590,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,1,3772,TRUE,3912,15337;15338;15339,12127;12128;12129,12129,,,-1;-1
A2A6T1,A2A6T1,8,8,8,Cerebellar degeneration-related protein 2-like,Cdr2l,sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1,1,8,8,8,0,0,0,8,8,6,0,0,0,8,8,6,0,0,0,8,8,6,26.5,26.5,26.5,53.212,465,465,1,25,0,121.44,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,26.5,26.5,20.2,83639000,0,0,0,31337000,27133000,25170000,0,0,0,721730,534580,650450,0,0,0,9,8,8,25,,,,2,2167;2262;3497;5875;6539;7243;9027;10995,True;True;True;True;True;True;True;True,2249;2347;3621;6102;6792;7581;9427;11492,8687;8688;9001;9002;9003;14124;14125;14126;14127;24704;24705;24706;27541;27542;27543;30943;30944;30945;38313;38314;38315;38316;38317;47096;47097,6756;6757;7018;7019;7020;7021;11150;11151;11152;11153;19512;19513;19514;21695;21696;21697;24534;24535;24536;29904;29905;29906;29907;29908;37288,6756;7018;11153;19513;21695;24536;29908;37288,,,-1
A2A9T0,A2A9T0,3,3,3,TANK-binding kinase 1-binding protein 1,Tbkbp1,sp|A2A9T0|TBKB1_MOUSE TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1 PE=1 SV=1,1,3,3,3,0,0,0,2,2,1,0,0,0,2,2,1,0,0,0,2,2,1,6.1,6.1,6.1,67.001,611,611,1,5,0,4.9274,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,2.9,2.9,3.1,3712300,0,0,0,904340,989090,1818900,0,0,0,0,0,0,0,0,0,1,2,2,5,,,,3,510;6290;11403,True;True;True,528;6534;11919,2036;2037;26513;26514;48939,1593;1594;20911;38770;38771,1594;20911;38770,,,-1
A2AAY5,A2AAY5,2,2,2,SH3 and PX domain-containing protein 2B,Sh3pxd2b,sp|A2AAY5|SPD2B_MOUSE SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1,1,2,2,2,0,1,0,2,1,1,0,1,0,2,1,1,0,1,0,2,1,1,4.4,4.4,4.4,101.52,908,908,1,5,0,4.3647,,By matching,,By MS/MS,By MS/MS,By MS/MS,0,2.2,0,4.4,2.2,2.2,6265800,0,103000,0,2391600,1741600,2029600,0,0,0,0,0,0,0,0,0,2,1,0,3,,,,4,462;8907,True;True,479;9302,1853;1854;1855;1856;37816,1456;1457;29538,1457;29538,0,633,-1
A2ADY9,A2ADY9,2,2,2,Protein DDI1 homolog 2,Ddi2,sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1,1,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,2,2,2,9.8,9.8,9.8,44.59,399,399,1,6,0,7.6807,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,9.8,9.8,9.8,26024000,0,0,0,7498500,9255100,9270000,0,0,0,573880,576140,465790,0,0,0,1,1,3,5,,,,5,5710;9930,True;True,5927;10379,23967;23968;23969;42357;42358;42359,18905;18906;18907;33562;33563;33564,18907;33562,1,125,-1
A2AG50,A2AG50,4,4,4,MAP7 domain-containing protein 2,Map7d2,sp|A2AG50|MA7D2_MOUSE MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1,1,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0,0,0,4,4,4,6.4,6.4,6.4,86.049,781,781,1,12,0,65.443,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,6.4,6.4,6.4,46777000,0,0,0,13256000,14599000,18922000,0,0,0,638650,667280,671550,0,0,0,4,4,4,12,,,,6,357;2028;3715;9462,True;True;True;True,370;2103;3851;9889,1447;1448;1449;8138;8139;8140;15097;15098;15099;40312;40313;40314,1147;1148;6344;6345;6346;11947;11948;11949;11950;31817;31818;31819,1147;6346;11949;31819,,,-1
A2AG58,A2AG58,1,1,1,Uncharacterized protein CXorf23 homolog,,sp|A2AG58|BCLA3_MOUSE BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1.5,1.5,1.5,90.11,752,752,1,3,0.0096637,1.5843,,,,By matching,By MS/MS,By MS/MS,0,0,0,1.5,1.5,1.5,1412700,0,0,0,427030,455100,530580,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,7,3553,TRUE,3681,14357;14358;14359,11336;11337,11337,,,-1
A2AGT5,A2AGT5,9,9,9,Cytoskeleton-associated protein 5,Ckap5,sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,1,9,9,9,1,4,4,4,7,7,1,4,4,4,7,7,1,4,4,4,7,7,6.2,6.2,6.2,225.63,2032,2032,1,27,0,13.901,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,0.5,2.3,2.4,2.3,5,5.1,16557000,31663,584330,559130,2807200,6415500,6158900,0,0,242200,143240,225510,208490,0,1,1,2,5,3,12,,,,8,375;1184;1562;1691;2023;3635;4810;5549;5594,True;True;True;True;True;True;True;True;True,389;1227;1617;1753;2098;3766;4996;5761;5808,1542;1543;1544;4724;4725;6232;6233;6234;6235;6786;6787;6788;6789;6790;8118;8119;14733;14734;20093;20094;20095;20096;20097;23344;23345;23346;23521,1207;1208;3671;3672;4848;4849;5293;5294;6333;11663;15942;18420;18421;18538,1207;3672;4849;5293;6333;11663;15942;18420;18538,2,2008,-1
A2AHL1,A2AHL1,1,1,1,Anoctamin-3,Ano3,sp|A2AHL1|ANO3_MOUSE Anoctamin-3 OS=Mus musculus OX=10090 GN=Ano3 PE=1 SV=1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.2,1.2,1.2,114.57,981,981,1,1,1,-2,,,,,,By MS/MS,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,+,,,9,5382,TRUE,5587,22640,17850,17850,3;4,258;263,-1
