proteinID,LFQ.intensity.T1,LFQ.intensity.T2,LFQ.intensity.T3,LFQ.intensity.U1,LFQ.intensity.U2,LFQ.intensity.U3,impute_LFQ.intensity.T1,impute_LFQ.intensity.T2,impute_LFQ.intensity.T3,impute_LFQ.intensity.U1,impute_LFQ.intensity.U2,impute_LFQ.intensity.U3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A432,22.872693665239986,23.147775073978398,23.058491881632317,23.15875512975565,23.16217125101556,23.186903118603674,22.872693665239986,23.147775073978398,23.058491881632317,23.15875512975565,23.16217125101556,23.186903118603674,0.15430505713375983,0.811619840305642,-0.14295629284139366,-1.7539373817907618,0.15430505713375983,12,Cul4b
A2A4P0,21.73908836139406,21.87901031021583,21.387849050834898,21.171027714850457,21.725006711046593,21.507074537357166,21.73908836139406,21.87901031021583,21.387849050834898,21.171027714850457,21.725006711046593,21.507074537357166,0.407828729786303,0.3895221832950903,0.20094625306352398,0.9238969407281181,0.407828729786303,15,Dhx8
A2A5R2,21.887141763535922,21.916485974751094,21.927740352835695,21.688975914263636,22.039892289349424,22.035603238106933,21.887141763535922,21.916485974751094,21.927740352835695,21.688975914263636,22.039892289349424,22.035603238106933,0.9293321043924062,0.03182905960066637,-0.011034450199094437,-0.09439870136216376,0.9293321043924062,43,Arfgef2
A2A6T1,22.812116968377076,22.514124572338236,22.56720689036245,22.809410958454936,22.784606092579654,22.83283130955889,22.812116968377076,22.514124572338236,22.56720689036245,22.809410958454936,22.784606092579654,22.83283130955889,0.12793450582245824,0.893012304096992,-0.17779997650523782,-1.9154878272602123,0.12793450582245824,7,Cdr2l
A2ADY9,24.717066810650223,24.612455490043867,24.871453332307468,24.44461709016834,24.51448580299761,24.54108715973548,24.717066810650223,24.612455490043867,24.871453332307468,24.44461709016834,24.51448580299761,24.54108715973548,0.04409857043571796,1.3555754890342553,0.23359519336671042,2.900438192755588,0.04409857043571796,8,Ddi2
A2AF47,NA,NA,20.922015221211964,21.235962788992204,20.790504412012424,20.66353378299345,19.199205571834515,19.676915346458273,20.922015221211964,21.235962788992204,20.790504412012424,20.66353378299345,0.1499739301485958,0.823984227454975,-0.9639549481644423,-1.7783412886552958,0.1499739301485958,46,Dock11
A2AG50,23.152857937873343,23.20538281391121,23.322511342126717,22.724611272513613,22.739933024614977,22.85815633561063,23.152857937873343,23.20538281391121,23.322511342126717,22.724611272513613,22.739933024614977,22.85815633561063,0.0023040126897823743,2.6375151332838582,0.452683820390682,6.907558278178094,0.0023040126897823743,7,Map7d2
A2AGT5,23.520972536008028,23.563720433757783,23.582677680058577,23.662425864054406,23.700811364464712,23.672927686642996,23.520972536008028,23.563720433757783,23.582677680058577,23.662425864054406,23.700811364464712,23.672927686642996,0.004664632970918968,2.331182522330223,-0.1229314217792421,-5.705746038243856,0.004664632970918968,29,Ckap5
A2AHC3,21.49384763295404,21.458238378726296,21.462038894723364,21.36964846126888,21.391682028104007,21.492870263469545,21.49384763295404,21.458238378726296,21.462038894723364,21.36964846126888,21.391682028104007,21.492870263469545,0.24930721497453917,0.6032651527906983,0.05330805118708781,1.3467468257017823,0.24930721497453917,25,Camsap1
A2AKG8,23.516170351193374,23.44455390413785,NA,23.531362421446417,23.400673091192484,23.341638261080554,23.516170351193374,23.44455390413785,19.075856354748293,23.531362421446417,23.400673091192484,23.341638261080554,0.39088575406074183,0.40795015726166495,-1.412364387879979,-0.9611950411162387,0.39088575406074183,40,Focad
A2AN08,24.448151098422066,24.58164377824517,24.502881322841755,24.377162860665358,24.50893696907698,24.45098466661752,24.448151098422066,24.58164377824517,24.502881322841755,24.377162860665358,24.50893696907698,24.45098466661752,0.2965800780727484,0.5278580248304081,0.06519723438304581,1.1993425453901463,0.2965800780727484,122,Ubr4
A2AQ19,22.09316607156202,21.81088224563506,22.297513010321357,22.064375698409354,22.174293009459145,21.803293959294887,22.09316607156202,21.81088224563506,22.297513010321357,22.064375698409354,22.174293009459145,21.803293959294887,0.7809958003492652,0.10735130144926028,0.05319955345168381,0.2973591538942384,0.7809958003492652,4,Rtf1
A2AR02,22.261610604378873,21.84945855347043,22.09400421054665,21.900507174061815,21.582930298956715,22.07280515084987,22.261610604378873,21.84945855347043,22.09400421054665,21.900507174061815,21.582930298956715,22.07280515084987,0.3114323265116116,0.506636309889431,0.216276914842517,1.1576274672936386,0.3114323265116116,9,Ppig
A2ASS6,22.261610604378873,22.105783212364678,22.146439403328078,NA,21.97879283934168,21.5569793463713,22.261610604378873,22.105783212364678,22.146439403328078,19.31025450933748,21.97879283934168,21.5569793463713,0.21452604968828703,0.6685199643232058,1.2226021750070544,1.4738590709889983,0.21452604968828703,486,Ttn
A2AT37,22.155732356665837,22.027020450409836,22.08586012515984,21.992895474549584,21.67947150873672,22.357887004703507,22.155732356665837,22.027020450409836,22.08586012515984,21.992895474549584,21.67947150873672,22.357887004703507,0.7108197284490227,0.14824052707151056,0.07945298141523338,0.3982029015526427,0.7108197284490227,21,Upf2
A2AWA9,24.375374108060754,24.542091472369762,24.452305096261817,24.495763797925655,24.801933288907577,24.596449574979545,24.375374108060754,24.542091472369762,24.452305096261817,24.495763797925655,24.801933288907577,24.596449574979545,0.16227113134913138,0.7897587359404975,-0.17479199504014886,-1.710892071839512,0.16227113134913138,23,Rabgap1
A2BE28,22.152053311505085,22.15520735284557,22.099247631185527,22.483675078987332,22.321465731439268,22.37254733607861,22.152053311505085,22.15520735284557,22.099247631185527,22.483675078987332,22.321465731439268,22.37254733607861,0.007385725926382803,2.13160681242672,-0.25705995032300777,-5.019928983295392,0.007385725926382803,13,Las1l
