proteinID,LFQ.intensity.A1,LFQ.intensity.A2,LFQ.intensity.A3,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,impute_LFQ.intensity.A1,impute_LFQ.intensity.A2,impute_LFQ.intensity.A3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A690,NA,NA,NA,17.21475547612625,16.8362723062447,17.35689896035919,15.255544857472001,15.682061986535317,15.145414069410862,17.21475547612625,16.8362723062447,17.35689896035919,0.0014117120229553274,2.850253886568086,1.774968609770653,7.865937649015531,0.0014117120229553274,26,Tanc2
A2A6T1,NA,17.703673809423933,NA,18.64209401166277,18.476231994013627,19.605685681165966,16.425290839437306,17.703673809423933,15.758859796001245,18.64209401166277,18.476231994013627,19.605685681165966,0.02731435182111099,1.5636091009833657,2.2787290806599607,3.398527768251374,0.02731435182111099,7,Cdr2l
A2ADY9,NA,NA,NA,18.28946959354563,18.401746180099718,18.42591249123047,15.153395948086862,15.842005542749344,15.974102409736886,18.28946959354563,18.401746180099718,18.42591249123047,4.597184890591108e-4,3.3375080293476342,2.7158747881009084,10.531717039955877,4.597184890591108e-4,8,Ddi2
A2AG50,NA,NA,NA,19.177453603815472,18.83938219442092,19.389320438051566,15.888523135992344,15.42458619436724,16.381328180515474,19.177453603815472,18.83938219442092,19.389320438051566,5.32788085495024e-4,3.2734454956651233,3.2372395751376324,10.138782110405725,5.32788085495024e-4,7,Map7d2
A2APB8,NA,NA,NA,17.93554492278996,17.463795747088128,17.691661743782316,15.79062649165972,15.258289629527482,14.419331362164478,17.93554492278996,17.463795747088128,17.691661743782316,0.003824308748615402,2.4174470530049463,2.5409183101029083,6.024779801111151,0.003824308748615402,8,Tpx2
B1AXD8,NA,NA,NA,18.84027389525997,18.71377581392084,19.157855128974575,16.177651052159835,15.561715952551678,15.576849359214604,18.84027389525997,18.71377581392084,19.157855128974575,2.0581672485111012e-4,3.6865193369816516,3.131896158076424,12.938763268695087,2.0581672485111012e-4,4,Akirin2
B7ZNG4,NA,NA,NA,18.7443871298053,18.52993377464782,18.720771970502614,16.08230446792971,16.017747512755925,15.898063322055954,18.7443871298053,18.52993377464782,18.720771970502614,6.677145318741358e-6,5.175409171850879,2.665659190738049,30.734445720337803,6.677145318741358e-6,16,Troap
D3YZP9,NA,NA,NA,19.79736072196163,19.95461096199004,20.248525237506005,16.069216258852823,15.997169268227388,15.624632107108186,19.79736072196163,19.95461096199004,20.248525237506005,2.7738502360517098e-5,4.556916990779729,4.103159762423093,21.48849409522618,2.7738502360517098e-5,3,Ccdc6
E9PVX6,NA,NA,NA,16.457428976656292,16.573765513926926,16.651864548199796,14.537977459589738,15.911712564303254,15.555821702689368,16.457428976656292,16.573765513926926,16.651864548199796,0.04195150470337204,1.3772524574180758,1.225849104066885,2.9504279621876535,0.04195150470337204,28,Mki67
E9Q6B2,NA,NA,NA,18.105182150700728,18.0566377151132,18.561750349815913,15.503347028277716,14.81102062950893,15.333626965594723,18.105182150700728,18.0566377151132,18.561750349815913,3.2722765331097176e-4,3.4851500021495814,3.0251918640828226,11.492730368173639,3.2722765331097176e-4,5,Ccdc85c
G5E8K5,NA,NA,NA,18.461319565306617,18.500670742277734,18.349229387081085,15.531255688728216,15.78948312852791,15.557045133017064,18.461319565306617,18.500670742277734,18.349229387081085,7.387230790666642e-6,5.131518332609272,2.8111452481307495,29.964910011176954,7.387230790666642e-6,26,Ank3
O08663,NA,NA,NA,18.332368783253845,18.706509508189626,18.586187414285302,15.366878409018375,15.377779411205976,15.554144976800865,18.332368783253845,18.706509508189626,18.586187414285302,1.5949682491594468e-5,4.797247957968617,3.108754302901186,24.698292436855922,1.5949682491594468e-5,15,Metap2
O08696,NA,NA,NA,16.764871590736092,17.11410832714217,17.183402770013135,16.16453825174726,15.987186514342554,15.49875167849106,16.764871590736092,17.11410832714217,17.183402770013135,0.008718991017657928,2.059533769748285,1.1373020811035062,4.788834069218808,0.008718991017657928,10,Foxm1
O08709,19.094758119541886,20.050725511197808,19.587945949812784,21.436087270387663,21.59941529037681,22.09203703807832,19.094758119541886,20.050725511197808,19.587945949812784,21.436087270387663,21.59941529037681,22.09203703807832,0.0032756726977815004,2.4846994990510267,2.1313700060967697,6.283708761894809,0.0032756726977815004,2,Prdx6
O08795,17.280299555837214,NA,NA,18.345032673352172,18.176942531942338,18.586334040810915,17.280299555837214,15.222742839701818,15.212876489898267,18.345032673352172,18.176942531942338,18.586334040810915,0.024190735023100415,1.6163509356221253,2.464130120222709,3.5318262238968328,0.024190735023100415,17,Prkcsh
O08807,22.47518817772244,22.37124489281486,22.39923932448914,23.67809632644236,23.648010806167495,23.717851267763177,22.47518817772244,22.37124489281486,22.39923932448914,23.67809632644236,23.648010806167495,23.717851267763177,4.3786510985772745e-6,5.358659659055291,1.26609533511553,34.16517405011404,4.3786510985772745e-6,4,Prdx4
