proteinID,LFQ.intensity.A1,LFQ.intensity.A2,LFQ.intensity.A3,LFQ.intensity.C1,LFQ.intensity.C2,LFQ.intensity.C3,impute_LFQ.intensity.A1,impute_LFQ.intensity.A2,impute_LFQ.intensity.A3,impute_LFQ.intensity.C1,impute_LFQ.intensity.C2,impute_LFQ.intensity.C3,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
A2A432,18.961692730779305,19.07114284095149,18.907624201702333,18.485223971657064,18.418972594210313,18.931453149104033,18.961692730779305,19.07114284095149,18.907624201702333,18.485223971657064,18.418972594210313,18.931453149104033,0.0934193402016913,1.0295632043547716,-0.36827001948724103,-2.192611949287233,0.0934193402016913,12,Cul4b
A2A6T1,17.61439352983663,17.789915664048692,17.853553233309988,19.034589428226795,18.989095090041822,18.556857764510056,17.61439352983663,17.789915664048692,17.853553233309988,19.034589428226795,18.989095090041822,18.556857764510056,0.0027535965870855716,2.5600996852976095,1.1075599518611199,6.585172948636547,0.0027535965870855716,7,Cdr2l
A2AG50,NA,NA,NA,19.873966716029656,19.577860279691098,19.69086078143845,16.41740008541092,16.832924810758634,16.31010764076296,19.873966716029656,19.577860279691098,19.69086078143845,6.093139315765929e-5,4.215158891894128,3.19408508007556,17.62018373254705,6.093139315765929e-5,7,Map7d2
A2AGT5,18.19128095477434,18.528866128411735,18.425420817019052,18.718532876069222,18.787303181976394,18.823361019803794,18.19128095477434,18.528866128411735,18.425420817019052,18.718532876069222,18.787303181976394,18.823361019803794,0.019501261181885034,1.7099373011184151,0.3945430592147616,3.7761068801191278,0.019501261181885034,29,Ckap5
A2AN08,18.553936721741078,19.240348805528516,18.354232160979194,18.868038792640696,18.255710943662734,18.918379944781407,18.553936721741078,19.240348805528516,18.354232160979194,18.868038792640696,18.255710943662734,18.918379944781407,0.9225420035835465,0.03501385117511527,-0.0354626690546489,-0.10350771520552127,0.9225420035835465,122,Ubr4
A2AR02,21.557446873448075,20.39968264090781,20.573576926581296,19.404472192931006,19.78621856873813,19.818516646603015,21.557446873448075,20.39968264090781,20.573576926581296,19.404472192931006,19.78621856873813,19.818516646603015,0.03783068343698239,1.4221558128116942,-1.1738330108883446,-3.055328724983956,0.03783068343698239,9,Ppig
B2RQC6,20.08199826751838,20.60168375060847,20.043134114283692,20.368476621038326,19.936609186024704,20.289402047953665,20.08199826751838,20.60168375060847,20.043134114283692,20.368476621038326,19.936609186024704,20.289402047953665,0.853302783777724,0.06889683754170521,-0.04410942579794863,-0.19717724599893754,0.853302783777724,45,Cad
B2RY56,NA,NA,18.74953557703844,19.020442863757147,19.017754484850222,19.13242441994574,17.556998813720305,16.907743350299395,18.74953557703844,19.020442863757147,19.017754484850222,19.13242441994574,0.07126819382443011,1.1471042475454496,1.3187813424983226,2.4392218924765845,0.07126819382443011,6,Rbm25
B9EJR8,NA,18.193640857722585,17.790361225159916,17.47500506099405,17.219584506138506,17.623209927415754,16.317883806639085,18.193640857722585,17.790361225159916,17.47500506099405,17.219584506138506,17.623209927415754,0.993165707973591,0.0029782841788402858,0.005304535008910705,0.009112547009349305,0.993165707973591,18,Dnaaf5
C0HKE6,NA,23.438094348367297,23.334563544703425,21.835840703135034,22.355872611091993,21.616521922218073,16.988746225042572,23.438094348367297,23.334563544703425,21.835840703135034,22.355872611091993,21.616521922218073,0.7662328085290261,0.11563925634920341,0.6822770394439353,0.3182298220936768,0.7662328085290261,0,H2ac13
D3YXK2,NA,18.34581236804286,NA,18.70161105291107,18.476350674110837,18.61032559187872,17.11743862831096,18.34581236804286,17.034064944594544,18.70161105291107,18.476350674110837,18.61032559187872,0.06285271179716295,1.201675979821507,1.0969904593174213,2.556770486265032,0.06285271179716295,9,Safb
E9PVA8,20.09751265709477,20.471099640798325,20.03965806116447,20.169499338919977,19.73385279211502,20.12060239371419,20.09751265709477,20.471099640798325,20.03965806116447,20.169499338919977,19.73385279211502,20.12060239371419,0.3700824566845418,0.431701501626528,-0.19477194476946025,-1.008934076579987,0.3700824566845418,49,Gcn1
E9PZJ8,NA,18.373052048906818,NA,18.635413465057844,18.23645337843202,18.633534517092514,16.582084808015292,18.373052048906818,17.514169181498577,18.635413465057844,18.23645337843202,18.633534517092514,0.13090947945000597,0.8830289040697984,1.012031774053895,1.8955483209340815,0.13090947945000597,28,Ascc3
