Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides A1,Peptides A2,Peptides A3,Peptides C1,Peptides C2,Peptides C3,Razor + unique peptides A1,Razor + unique peptides A2,Razor + unique peptides A3,Razor + unique peptides C1,Razor + unique peptides C2,Razor + unique peptides C3,Unique peptides A1,Unique peptides A2,Unique peptides A3,Unique peptides C1,Unique peptides C2,Unique peptides C3,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Q-value,Score,Identification type A1,Identification type A2,Identification type A3,Identification type C1,Identification type C2,Identification type C3,Sequence coverage A1 [%],Sequence coverage A2 [%],Sequence coverage A3 [%],Sequence coverage C1 [%],Sequence coverage C2 [%],Sequence coverage C3 [%],Intensity,Intensity A1,Intensity A2,Intensity A3,Intensity C1,Intensity C2,Intensity C3,LFQ intensity A1,LFQ intensity A2,LFQ intensity A3,LFQ intensity C1,LFQ intensity C2,LFQ intensity C3,MS/MS count A1,MS/MS count A2,MS/MS count A3,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Oxidation (M) site IDs,Oxidation (M) site positions,Taxonomy IDs
A0A087WPF7,A0A087WPF7,2,2,2,,Auts2,sp|A0A087WPF7|AUTS2_MOUSE Autism susceptibility gene 2 protein homolog OS=Mus musculus OX=10090 GN=Auts2 PE=1 SV=2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2.1,2.1,2.1,138.92,1261,1261,1,11,0,21.088,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,By MS/MS,2.1,2.1,2.1,1.2,1.2,2.1,7348400,1283400,672310,400310,432540,823700,3736100,444450,727730,463970,0,0,321500,2,3,1,1,1,1,9,,,,0,4800;5873,True;True,4995;6108,19532;19533;19534;19535;19536;19537;19538;24044;24045;24046;24047,15277;15278;15279;15280;15281;15282;18710;18711;18712,15279;18710,,,-1
A2A432,A2A432,3,1,1,Cullin-4B,Cul4b,sp|A2A432|CUL4B_MOUSE Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1,1,3,1,1,3,1,1,2,3,1,1,0,0,1,1,0,1,0,0,1,1,0,4.3,1.9,1.9,110.7,970,970,1,3,0.0066225,6.1011,By matching,By matching,By matching,By matching,By MS/MS,By matching,4.3,1.1,1.1,3,4.3,1.3,1513900,217800,0,0,832930,463220,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,1,651;8280;8451,True;False;False,676;8654;8830,2490;2491;2492;34164;34165;34166;34884;34885;34886;34887;34888,1946;26499;27000;27001;27002,1946;26499;27001,,,-1
A2A690,A2A690,2,2,2,Protein TANC2,Tanc2,sp|A2A690|TANC2_MOUSE Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1,1,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,1,0,0,2,2,2,1.4,1.4,1.4,220.26,1994,1994,1,7,0,11.758,By matching,,,By MS/MS,By MS/MS,By MS/MS,0.6,0,0,1.4,1.4,1.4,5930400,14412,0,0,1937600,1973500,2004900,0,0,0,152110,117010,167860,0,0,0,1,2,1,4,,,,2,9292;9908,True;True,9711;10364,38204;38205;38206;41183;41184;41185;41186,29520;32252;32253;32254,29520;32253,,,-1
A2A6A1;A2AKY4,A2A6A1;A2AKY4,1;1,1;1,1;1,G patch domain-containing protein 8;Zinc finger protein 804A,Gpatch8;Znf804a,sp|A2A6A1|GPTC8_MOUSE G patch domain-containing protein 8 OS=Mus musculus OX=10090 GN=Gpatch8 PE=1 SV=1;sp|A2AKY4|Z804A_MOUSE Zinc finger protein 804A OS=Mus musculus OX=10090 GN=Znf804a PE=2 SV=1,2,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1.1,1.1,1.1,164.99,1505,1505;1200,1,4,0.0017754,7.2366,,By matching,,By MS/MS,By MS/MS,By MS/MS,0,1.1,0,1.1,1.1,1.1,1271400,0,18279,0,344390,506290,402390,0,0,0,0,0,0,0,0,0,1,1,1,3,,,,3,3778,TRUE,3922,14964;14965;14966;14967,11647;11648;11649,11647,,,-1;-1
A2A6T1,A2A6T1,8,8,8,Cerebellar degeneration-related protein 2-like,Cdr2l,sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1,1,8,8,8,0,2,1,7,8,8,0,2,1,7,8,8,0,2,1,7,8,8,26.5,26.5,26.5,53.212,465,465,1,30,0,113.15,,By matching,By matching,By MS/MS,By MS/MS,By MS/MS,0,5.6,3,20.6,26.5,26.5,71762000,0,303680,342860,19974000,27978000,23164000,0,213470,0,409100,364670,797810,0,0,0,4,8,8,20,,,,4,2175;2261;3495;5866;6528;7234;9008;10927,True;True;True;True;True;True;True;True,2257;2347;3623;6101;6789;7570;9414;11432,8482;8483;8484;8800;8801;8802;8803;8804;13780;13781;13782;13783;24011;24012;24013;26684;26685;26686;29934;29935;37182;37183;37184;37185;37186;37187;37188;45604;45605;45606,6537;6538;6792;6793;10716;10717;10718;10719;18679;18680;18681;20702;20703;20704;23400;23401;28730;28731;28732;35754,6537;6793;10719;18681;20703;23401;28731;35754,,,-1
A2A9T0,A2A9T0,2,2,2,TANK-binding kinase 1-binding protein 1,Tbkbp1,sp|A2A9T0|TBKB1_MOUSE TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1 PE=1 SV=1,1,2,2,2,0,0,0,2,0,1,0,0,0,2,0,1,0,0,0,2,0,1,2.9,2.9,2.9,67.001,611,611,1,3,0,12.297,,,,By MS/MS,,By matching,0,0,0,2.9,0,1.3,3243000,0,0,0,2286400,0,956530,0,0,0,0,0,0,0,0,0,2,0,0,2,,,,5,525;6294,True;True,542;6547,1996;1997;25734,1564;19981,1564;19981,,,-1
A2ADY9,A2ADY9,3,3,3,Protein DDI1 homolog 2,Ddi2,sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1,1,3,3,3,0,0,0,3,3,2,0,0,0,3,3,2,0,0,0,3,3,2,13.5,13.5,13.5,44.59,399,399,1,8,0,33.924,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,13.5,13.5,10,21378000,0,0,0,6493500,12190000,2694600,0,0,0,320390,346320,352170,0,0,0,3,4,2,9,,,,6,5704;7368;9892,True;True;True,5928;7713;10347,23303;23304;30519;30520;30521;41125;41126;41127,18102;18103;23859;23860;23861;32203;32204;32205;32206,18103;23860;32206,0,125,-1
A2AG50,A2AG50,5,5,5,MAP7 domain-containing protein 2,Map7d2,sp|A2AG50|MA7D2_MOUSE MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1,1,5,5,5,0,0,0,5,4,4,0,0,0,5,4,4,0,0,0,5,4,4,8.1,8.1,8.1,86.049,781,781,1,13,0,93.663,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,8.1,6.4,6.7,44041000,0,0,0,17311000,14426000,12303000,0,0,0,592910,469050,686700,0,0,0,3,3,4,10,,,,7,378;2038;3721;6558;9442,True;True;True;True;True,389;2113;3861;6820;9870,1453;1454;1455;7925;7926;14728;14729;14730;26850;26851;39124;39125;39126,1140;6122;6123;11467;11468;11469;11470;20823;30559;30560,1140;6122;11468;20823;30559,,,-1
A2AG58,A2AG58,2,2,2,Uncharacterized protein CXorf23 homolog,,sp|A2AG58|BCLA3_MOUSE BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1,1,2,2,2,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,1,2,1,2.8,2.8,2.8,90.11,752,752,1,4,0.001457,10.99,,,,By MS/MS,By MS/MS,By MS/MS,0,0,0,1.3,2.8,1.3,356900,0,0,0,139050,60476,157380,0,0,0,0,0,0,0,0,0,0,1,1,2,,,,8,3557;8588,True;True,3689;8975,14004;35468;35469;35470,10886;27418,10886;27418,,,-1
A2AGT5,A2AGT5,12,12,12,Cytoskeleton-associated protein 5,Ckap5,sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,1,12,12,12,7,2,3,7,7,6,7,2,3,7,7,6,7,2,3,7,7,6,7.1,7.1,7.1,225.63,2032,2032,1,32,0,74.34,By MS/MS,By matching,By MS/MS,By MS/MS,By MS/MS,By MS/MS,4.3,1.2,1.5,3.5,3.9,4.1,15525000,1842200,74196,229150,4091600,6599300,2688300,243160,83459,203680,101040,111430,79678,5,0,1,5,4,2,17,,,,9,395;1570;1571;1703;2034;2474;3640;4242;5583;9005;9443;10621,True;True;True;True;True;True;True;True;True;True;True;True,408;1627;1628;1766;2109;2566;3774;4406;5804;9411;9871;11116,1527;1528;1529;6043;6044;6045;6046;6047;6048;6049;6586;6587;6588;6589;6590;6591;7912;9663;9664;14377;14378;16988;22854;37168;37169;37170;37171;39127;39128;44352;44353;44354,1194;1195;4707;4708;4709;5138;5139;6112;7496;11193;13325;17745;28721;28722;30561;34790;34791,1194;4708;4709;5139;6112;7496;11193;13325;17745;28722;30561;34791,1,2008,-1
