proteinID,LFQ.intensity.PD1,LFQ.intensity.PD2,LFQ.intensity.PD3,LFQ.intensity.PD4,LFQ.intensity.PE1,LFQ.intensity.PE2,LFQ.intensity.PE3,LFQ.intensity.PE4,impute_LFQ.intensity.PD1,impute_LFQ.intensity.PD2,impute_LFQ.intensity.PD3,impute_LFQ.intensity.PD4,impute_LFQ.intensity.PE1,impute_LFQ.intensity.PE2,impute_LFQ.intensity.PE3,impute_LFQ.intensity.PE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
O00193,NA,NA,NA,NA,20.775713150383517,20.777560339988746,21.014611698025977,20.703285154628514,18.18571984479246,17.67502578000684,16.870176373131308,18.557009454875054,20.775713150383517,20.777560339988746,21.014611698025977,20.703285154628514,1.9438354679973286e-4,3.711340497827886,2.995809722555272,8.066056969036701,1.9438354679973286e-4,1,SMAP
O00233,18.876516946565,NA,NA,NA,19.406113638041507,19.778314598051633,19.791887819411144,18.86032924370478,18.876516946565,18.4655393010539,18.403606986774875,18.288788701236044,19.406113638041507,19.778314598051633,19.791887819411144,18.86032924370478,0.009496556624576843,2.0224338378721765,0.9505483408948123,3.7511808249980327,0.009496556624576843,3,PSMD9
O00273,NA,NA,NA,NA,20.879197325893585,21.039457263877146,20.51864547258885,20.320915105486673,18.45298320890678,18.38386537560345,18.026474162202188,16.98399877032988,20.879197325893585,21.039457263877146,20.51864547258885,20.320915105486673,3.523973037291205e-4,3.4529674231318523,2.727723412700989,7.240370026505552,3.523973037291205e-4,7,DFFA
O00487,20.975472963619794,21.5101209023032,NA,21.02722298603911,22.492650264055907,22.850241024392606,22.564581209525905,22.95730613073778,20.975472963619794,21.5101209023032,17.93689407476172,21.02722298603911,22.492650264055907,22.850241024392606,22.564581209525905,22.95730613073778,0.02906349219030437,1.5366522032569345,2.3537669254970943,2.8530940957010795,0.02906349219030437,3,PSMD14
O00571,20.8114311417629,21.306302047355388,20.636263505123225,21.135396167266297,22.52618877413348,22.682968016929685,22.408131716553417,23.178888504303995,20.8114311417629,21.306302047355388,20.636263505123225,21.135396167266297,22.52618877413348,22.682968016929685,22.408131716553417,23.178888504303995,2.7323229206024094e-4,3.563467974702043,1.7266960376031903,7.584378779306754,2.7323229206024094e-4,7,DDX3X
O14545,NA,NA,NA,NA,NA,19.35614673392738,19.364356980388052,19.29714913515754,17.779199751664915,17.7896575604575,17.95885277121391,18.544429771182667,17.992499727996705,19.35614673392738,19.364356980388052,19.29714913515754,0.04199272874825761,1.3768259033614452,0.9845031807376721,2.576035031533012,0.04199272874825761,25,TRAFD1
O14562,NA,NA,NA,NA,21.075745493670702,20.67245296684183,20.515857655217232,20.29108973975177,18.269979886528464,17.64092418780555,17.631458966356128,18.172960484366897,21.075745493670702,20.67245296684183,20.515857655217232,20.29108973975177,2.6998436319005582e-5,4.568661388348152,2.7099555826061206,11.423017269357484,2.6998436319005582e-5,2,UBFD1
O14618,NA,NA,NA,NA,20.133202430493824,19.517550214485585,19.72032108915966,19.289289464938985,17.932066125409207,18.43385541485904,18.189893270533062,17.679679826172404,20.133202430493824,19.517550214485585,19.72032108915966,19.289289464938985,5.644859413026015e-4,3.248346869843058,1.6062171405260877,6.637018577383788,5.644859413026015e-4,9,CCS
O14734,NA,NA,NA,NA,21.123447011870535,21.06467172694038,21.09674088726134,NA,18.161109792863073,17.41837529414341,18.712625787891284,18.989103138459022,21.123447011870535,21.06467172694038,21.09674088726134,18.383939721381125,0.033091524968701366,1.4802832186294588,2.0968963335241497,2.7545563455864035,0.033091524968701366,8,ACOT8
O14745,NA,19.65954999687987,NA,NA,20.406445855317294,20.53221893094537,20.29367370539526,20.139211582010706,17.461423825758253,19.65954999687987,18.276574632253496,17.9205962149199,20.406445855317294,20.53221893094537,20.29367370539526,20.139211582010706,0.005776637264717423,2.238324902473745,2.013351350964278,4.185722019421031,0.005776637264717423,5,SLC9A3R1
O14818,23.03815139984929,22.428158743745126,23.229728306558304,22.72737706878471,24.040761946963237,23.326082711280133,23.73448553769023,23.165717297016393,23.03815139984929,22.428158743745126,23.229728306558304,22.72737706878471,24.040761946963237,23.326082711280133,23.73448553769023,23.165717297016393,0.03650783034710326,1.437613976315667,0.7109079935031382,2.6805819685158285,0.03650783034710326,3,PSMA7
O14879,NA,20.72033779098175,NA,NA,21.9448521561426,22.239929444522787,22.14223796516581,22.14587991800951,19.201858459528992,20.72033779098175,17.968991755730116,18.337196081532166,21.9448521561426,22.239929444522787,22.14223796516581,22.14587991800951,0.00250409543221826,2.601349123985562,3.061128849016921,4.979053944017927,0.00250409543221826,13,IFIT3
O14910,NA,NA,NA,NA,NA,20.18845845486007,19.926828752033312,20.770560662617914,18.002955480806786,17.613387627008276,18.084169885757085,17.077134911282222,18.10116226901271,20.18845845486007,19.926828752033312,20.770560662617914,0.01624062640517571,1.7893972239209046,2.0523405584174057,3.308223427461974,0.01624062640517571,2,LIN7A
O14933,NA,NA,NA,NA,22.341963950383064,21.90584089033775,22.306246412508152,22.186223076096176,18.72905713609751,18.06621931004666,19.086188473446118,18.22898951877237,22.341963950383064,21.90584089033775,22.306246412508152,22.186223076096176,6.9655911290859545e-6,5.157042021636791,3.6574549727406236,14.420641065004862,6.9655911290859545e-6,3,UBE2L6
