proteinID,LFQ.intensity.HD1,LFQ.intensity.HD2,LFQ.intensity.HD3,LFQ.intensity.HD4,LFQ.intensity.HE1,LFQ.intensity.HE2,LFQ.intensity.HE3,LFQ.intensity.HE4,impute_LFQ.intensity.HD1,impute_LFQ.intensity.HD2,impute_LFQ.intensity.HD3,impute_LFQ.intensity.HD4,impute_LFQ.intensity.HE1,impute_LFQ.intensity.HE2,impute_LFQ.intensity.HE3,impute_LFQ.intensity.HE4,pvalue,log1P,log2fc,t.value,p.adjust,Cys,geneName
E9PAV3,20.376447625739733,20.535639892993036,20.10546352988849,20.73842876826752,21.250145723120255,21.717202813779597,21.73268582754872,21.52993377464782,20.376447625739733,20.535639892993036,20.10546352988849,20.73842876826752,21.250145723120255,21.717202813779597,21.73268582754872,21.52993377464782,6.810098859113556e-4,3.166846583585618,1.1184970805519043,6.408192429852258,6.810098859113556e-4,12,"NACA"
O00151,21.19730549553779,21.305355963046786,21.342669358409587,21.675514321205718,21.992100229752502,21.974913074201343,22.23879306260905,22.5094203244851,21.19730549553779,21.305355963046786,21.342669358409587,21.675514321205718,21.992100229752502,21.974913074201343,22.23879306260905,22.5094203244851,0.0026744820537102382,2.572760311958818,0.7985953882120285,4.913411619376546,0.0026744820537102382,8,PDLIM1
O00170,21.487924407289857,21.16680545841399,21.614096922200936,21.51955755293523,21.96954812966269,22.28288593926186,22.878411697083767,21.969161644864407,21.487924407289857,21.16680545841399,21.614096922200936,21.51955755293523,21.96954812966269,22.28288593926186,22.878411697083767,21.969161644864407,0.012540466988803596,1.901686290707513,0.8279057675081773,3.518557994504668,0.012540466988803596,8,AIP
O00193,NA,NA,NA,NA,NA,19.66499233118699,19.428859022846265,20.96317549590964,17.09059101453567,18.0036163935466,17.439905757702967,16.931893072625222,17.275601789586588,19.66499233118699,19.428859022846265,20.96317549590964,0.04929664909149376,1.3071826006118856,1.9666556002797542,2.4573466797967303,0.04929664909149376,1,SMAP
O00244,NA,NA,NA,NA,19.305411632242482,20.692938954926806,20.064211211863793,20.462438367255583,17.542433455047124,17.70576586571817,17.63701093296225,17.281496188495066,19.305411632242482,20.692938954926806,20.064211211863793,20.462438367255583,1.851558489405261e-4,3.7324625643465175,2.589573431016511,8.136932410151747,1.851558489405261e-4,3,ATOX1
O00273,NA,NA,NA,NA,20.224703588367493,20.05986197033399,21.124267747316235,20.78700021035591,16.24449427390489,17.555459019678427,17.21582995195065,17.165753013563048,20.224703588367493,20.05986197033399,21.124267747316235,20.78700021035591,8.375360864221086e-5,4.076996471698448,3.5035743143191524,9.371669299703058,8.375360864221086e-5,7,DFFA
O00487,19.96211653348714,19.63367640989232,20.061840523843035,19.939194661700352,21.177429271164527,20.37750710661344,21.730572959507416,20.87026838256351,19.96211653348714,19.63367640989232,20.061840523843035,19.939194661700352,21.177429271164527,20.37750710661344,21.730572959507416,20.87026838256351,0.00871987527311511,2.0594897270611545,1.1397373977315084,3.8240053461121835,0.00871987527311511,3,PSMD14
O00571,21.01011009297903,20.75792383693999,21.415603555102127,20.74303959985401,21.407898407081312,21.58095409850569,21.972706395024,21.35896019901089,21.01011009297903,20.75792383693999,21.415603555102127,20.74303959985401,21.407898407081312,21.58095409850569,21.972706395024,21.35896019901089,0.029148705754040334,1.5353807237988608,0.598460503686681,2.8508607438600744,0.029148705754040334,7,DDX3X
O14561,NA,NA,NA,NA,20.310413083793676,20.638828296982528,20.246207096024055,20.899032327234444,17.045922983285,17.2142298410409,17.796732291306853,17.62748432309122,20.310413083793676,20.638828296982528,20.246207096024055,20.899032327234444,1.072357236044035e-5,4.9696605133392975,3.1025278413276816,13.393908786993439,1.072357236044035e-5,3,NDUFAB1
O14818,21.47352938091116,21.89345115198655,21.694597640798378,21.42987050479915,21.99720980880013,22.732147547122544,22.342886337661145,22.270762976636245,21.47352938091116,21.89345115198655,21.694597640798378,21.42987050479915,21.99720980880013,22.732147547122544,22.342886337661145,22.270762976636245,0.008574723184372458,2.0667798912781987,0.7128894979312079,3.8384150107314876,0.008574723184372458,3,PSMA7
